#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,JA!,Bizzey,1,1,1,1,1.000000
2,Blijf Bij Mij,Ronnie Flex,2,13,2,18,15.500000
3,4/5,Ronnie Flex,3,7,3,18,12.500000
4,Skittle Stacking,Josylvio,4,4,4,5,4.500000
5,Officieel,Broederliefde,0,0,5,24,0.000000
6,Havana,Camila Cabello,6,4,6,7,5.500000
7,River,Eminem,0,0,7,7,0.000000
8,Cono,Puri,8,16,8,27,21.500000
9,Finesse,Bruno Mars,9,4,9,7,5.500000
10,rockstar,Post Malone,10,10,10,14,12.000000
11,Wolves,Selena Gomez,11,2,11,5,3.500000
12,I Miss You,Clean Bandit,0,0,12,15,0.000000
13,Vervloekt,Frenna,13,18,13,27,22.500000
14,Zoutelande,BLOF,14,7,14,24,15.500000
15,Him & I,G-Eazy,28,21,15,29,25.000000
16,Perfect,Ed Sheeran,0,0,16,4,0.000000
17,In Amsterdam,Sevn Alias,0,0,17,18,0.000000
18,Stargazing,Kygo,28,21,18,18,19.500000
19,So Far Away,Martin Garrix,17,7,19,13,10.000000
20,All Falls Down,Alan Walker,18,18,20,15,16.500000
21,New Rules,Dua Lipa,19,2,21,2,2.000000
22,Nikes,Jacin Trill,20,13,22,12,12.500000
23,Patsergedrag,Sevn Alias,21,16,23,18,17.000000
24,Never Be the Same,Camila Cabello,22,10,24,7,8.500000
25,Anywhere,Rita Ora,0,0,25,7,0.000000
26,Too Good At Goodbyes,Sam Smith,24,13,26,15,14.000000
27,Merry,Nafthaly Ramona,0,0,27,29,0.000000
28,Homesick,Dua Lipa,26,10,28,2,6.000000
29,Echame La Culpa,Luis Fonsi,28,21,29,18,19.500000
30,What Lovers Do,Maroon 5,27,18,30,24,21.000000
