#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,JA!,Bizzey,1,1,1,3,2.000000
2,Blijf Bij Mij,Ronnie Flex,2,16,2,20,18.000000
3,4/5,Ronnie Flex,3,6,3,20,13.000000
4,Skittle Stacking,Josylvio,4,12,4,8,10.000000
5,Havana,Camila Cabello,5,2,5,6,4.000000
6,Officieel,Broederliefde,0,0,6,17,0.000000
7,River,Eminem,0,0,7,12,0.000000
8,Cono,Puri,8,16,8,23,19.500000
9,Finesse,Bruno Mars,9,8,9,8,8.000000
10,Perfect,Ed Sheeran,0,0,10,1,0.000000
11,Wolves,Selena Gomez,11,3,11,8,5.500000
12,rockstar,Post Malone,12,5,12,23,14.000000
13,I Miss You,Clean Bandit,0,0,13,19,0.000000
14,Vervloekt,Frenna,14,16,14,23,19.500000
15,Zoutelande,BLOF,15,10,15,12,11.000000
16,Him & I,G-Eazy,27,20,16,20,20.000000
17,So Far Away,Martin Garrix,16,8,17,15,11.500000
18,In Amsterdam,Sevn Alias,0,0,18,29,0.000000
19,Stargazing,Kygo,18,13,19,12,12.500000
20,All Falls Down,Alan Walker,19,13,20,23,18.000000
21,Never Be the Same,Camila Cabello,20,3,21,6,4.500000
22,New Rules,Dua Lipa,21,6,22,3,4.500000
23,Too Good At Goodbyes,Sam Smith,22,11,23,15,13.000000
24,Homesick,Dua Lipa,23,13,24,3,8.000000
25,Nikes,Jacin Trill,24,16,25,23,19.500000
26,Anywhere,Rita Ora,0,0,26,11,0.000000
27,What Lovers Do,Maroon 5,27,20,27,23,21.500000
28,Patsergedrag,Sevn Alias,27,20,28,29,24.500000
29,Silence,Marshmello,0,0,29,17,0.000000
30,Perfect Duet,Ed Sheeran,27,20,30,1,10.500000
