#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,Blijf Bij Mij,Ronnie Flex,1,8,1,17,12.500000
2,4/5,Ronnie Flex,2,5,2,17,11.000000
3,Officieel,Broederliefde,0,0,3,14,0.000000
4,River,Eminem,0,0,4,1,0.000000
5,Havana,Camila Cabello,5,1,5,8,4.500000
6,Perfect,Ed Sheeran,0,0,6,2,0.000000
7,Wolves,Selena Gomez,7,2,7,11,6.500000
8,rockstar,Post Malone,8,10,8,22,16.000000
9,I Miss You,Clean Bandit,0,0,9,14,0.000000
10,Cono,Puri,10,10,10,22,16.000000
11,Vervloekt,Frenna,11,10,11,26,18.000000
12,New Rules,Dua Lipa,12,3,12,4,3.500000
13,Stargazing,Kygo,25,17,13,6,11.500000
14,In Amsterdam,Sevn Alias,0,0,14,26,0.000000
15,Perfect Duet,Ed Sheeran,25,17,15,2,9.500000
16,Too Good At Goodbyes,Sam Smith,25,17,16,7,12.000000
17,Him & I,G-Eazy,25,17,17,22,19.500000
18,What Lovers Do,Maroon 5,14,10,18,17,13.500000
19,So Far Away,Martin Garrix,15,6,19,11,8.500000
20,Zoutelande,BLOF,25,17,20,22,19.500000
21,All Falls Down,Alan Walker,16,10,21,17,13.500000
22,Merry,Nafthaly Ramona,0,0,22,26,0.000000
23,Patsergedrag,Sevn Alias,25,17,23,26,21.500000
24,Dusk Till Dawn,ZAYN,18,10,24,8,9.000000
25,Silence,Marshmello,0,0,25,13,0.000000
26,Finesse,Bruno Mars,20,3,26,5,4.000000
27,Let Me Go,Hailee Steinfeld,21,6,27,14,10.000000
28,Feel It Still,Portugal. The Man,22,10,28,17,13.500000
29,Hop Hop Hop,Lil' Kleine,23,9,29,26,17.500000
30,Anywhere,Rita Ora,0,0,30,8,0.000000
