#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,Blijf Bij Mij,Ronnie Flex,1,10,1,10,10.000000
2,4/5,Ronnie Flex,2,4,2,10,7.000000
3,Officieel,Broederliefde,0,0,3,12,0.000000
4,River,Eminem,0,0,4,4,0.000000
5,Havana,Camila Cabello,5,5,5,17,11.000000
6,Wolves,Selena Gomez,6,3,6,15,9.000000
7,Cono,Puri,26,19,7,25,22.000000
8,rockstar,Post Malone,7,8,8,20,14.000000
9,I Miss You,Clean Bandit,0,0,9,15,0.000000
10,Vervloekt,Frenna,9,14,10,25,19.500000
11,New Rules,Dua Lipa,10,1,11,12,6.500000
12,Perfect,Ed Sheeran,0,0,12,1,0.000000
13,In Amsterdam,Sevn Alias,0,0,13,20,0.000000
14,Perfect Duet,Ed Sheeran,26,19,14,1,10.000000
15,Stargazing,Kygo,13,10,15,12,11.000000
16,Him & I,G-Eazy,26,19,16,24,21.500000
17,Patsergedrag,Sevn Alias,14,10,17,20,15.000000
18,Merry,Nafthaly Ramona,0,0,18,25,0.000000
19,Too Good At Goodbyes,Sam Smith,26,19,19,6,12.500000
20,What Lovers Do,Maroon 5,26,19,20,25,22.000000
21,Zoutelande,BLOF,16,6,21,8,7.000000
22,All Falls Down,Alan Walker,17,14,22,20,17.000000
23,So Far Away,Martin Garrix,18,2,23,8,5.000000
24,Hop Hop Hop,Lil Kleine,19,14,24,6,10.000000
25,Silence,Marshmello,0,0,25,25,0.000000
26,Dusk Till Dawn,ZAYN,21,10,26,5,7.500000
27,Feel It Still,Portugal. The Man,22,6,27,17,11.500000
28,Shape of You,Ed Sheeran,23,14,28,1,7.500000
29,Op Me Monnie,Frenna,24,14,29,25,19.500000
30,Let Me Go,Hailee Steinfeld,25,8,30,17,12.500000
