#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,Blijf Bij Mij,Ronnie Flex,1,10,1,14,12.000000
2,4/5,Ronnie Flex,2,1,2,14,7.500000
3,Officieel,Broederliefde,0,0,3,18,0.000000
4,River,Eminem,0,0,4,1,0.000000
5,Havana,Camila Cabello,5,2,5,13,7.500000
6,Cono,Puri,6,12,6,28,20.000000
7,Wolves,Selena Gomez,7,3,7,4,3.500000
8,rockstar,Post Malone,8,4,8,14,9.000000
9,I Miss You,Clean Bandit,0,0,9,19,0.000000
10,Vervloekt,Frenna,10,12,10,19,15.500000
11,Perfect,Ed Sheeran,0,0,11,2,0.000000
12,In Amsterdam,Sevn Alias,0,0,12,26,0.000000
13,Him & I,G-Eazy,24,16,13,28,22.000000
14,New Rules,Dua Lipa,13,4,14,5,4.500000
15,Stargazing,Kygo,14,8,15,9,8.500000
16,Finesse,Bruno Mars,15,4,16,7,5.500000
17,Perfect Duet,Ed Sheeran,24,16,17,2,9.000000
18,Merry,Nafthaly Ramona,0,0,18,28,0.000000
19,So Far Away,Martin Garrix,17,4,19,11,7.500000
20,All Falls Down,Alan Walker,18,12,20,19,15.500000
21,Too Good At Goodbyes,Sam Smith,19,11,21,19,15.000000
22,Zoutelande,BLOF,24,16,22,19,17.500000
23,Patsergedrag,Sevn Alias,24,16,23,26,21.000000
24,What Lovers Do (feat. SZA),Maroon 5,24,16,24,14,15.000000
25,Silence,Marshmello,0,0,25,7,0.000000
26,Anywhere,Rita Ora,0,0,26,5,0.000000
27,Dusk Till Dawn,ZAYN,22,8,27,9,8.500000
28,Let Me Go,Hailee Steinfeld,23,12,28,11,11.500000
29,Hop Hop Hop,Lil Kleine,24,16,29,19,17.500000
30,Op Me Monnie,Frenna,24,16,30,19,17.500000
