#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,Blijf Bij Mij,Ronnie Flex,1,8,1,7,7.500000
2,4/5,Ronnie Flex,2,2,2,7,4.500000
3,River,Eminem,0,0,3,1,0.000000
4,Officieel,Broederliefde,0,0,4,21,0.000000
5,Havana,Camila Cabello,5,3,5,18,10.500000
6,Cono,Puri,6,8,6,27,17.500000
7,Wolves,Selena Gomez,7,8,7,9,8.500000
8,rockstar,Post Malone,8,1,8,18,9.500000
9,I Miss You,Clean Bandit,0,0,9,12,0.000000
10,Vervloekt,Frenna,10,13,10,27,20.000000
11,In Amsterdam,Sevn Alias,0,0,11,21,0.000000
12,Him & I,G-Eazy,26,18,12,27,22.500000
13,Finesse,Bruno Mars,12,7,13,4,5.500000
14,Perfect,Ed Sheeran,0,0,14,2,0.000000
15,Stargazing,Kygo,14,16,15,12,14.000000
16,New Rules,Dua Lipa,15,4,16,12,8.000000
17,Merry,Nafthaly Ramona,0,0,17,30,0.000000
18,All Falls Down,Alan Walker,26,18,18,21,19.500000
19,Zoutelande,BLOF,17,5,19,21,13.000000
20,Too Good At Goodbyes,Sam Smith,18,5,20,6,5.500000
21,So Far Away,Martin Garrix,19,8,21,4,6.000000
22,Perfect Duet,Ed Sheeran,26,18,22,2,10.000000
23,Patsergedrag,Sevn Alias,26,18,23,21,19.500000
24,What Lovers Do,Maroon 5,20,16,24,16,16.000000
25,Hop Hop Hop,Lil Kleine,26,18,25,16,17.000000
26,Let Me Go,Hailee Steinfeld,21,13,26,18,15.500000
27,Silence,Marshmello,0,0,27,21,0.000000
28,Dusk Till Dawn,ZAYN,23,13,28,9,11.000000
29,Anywhere,Rita Ora,0,0,29,9,0.000000
30,Homesick,Dua Lipa,25,8,30,12,10.000000
