#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,Blijf Bij Mij,Ronnie Flex,1,9,1,17,13.000000
2,4/5,Ronnie Flex,2,1,2,17,9.000000
3,Officieel,Broederliefde,0,0,3,17,0.000000
4,River,Eminem,0,0,4,4,0.000000
5,Havana,Camila Cabello,5,2,5,7,4.500000
6,Cono,Puri,26,18,6,23,20.500000
7,Wolves,Selena Gomez,6,4,7,3,3.500000
8,I Miss You,Clean Bandit,0,0,8,13,0.000000
9,rockstar,Post Malone,8,7,9,15,11.000000
10,Vervloekt,Frenna,9,12,10,23,17.500000
11,In Amsterdam,Sevn Alias,0,0,11,23,0.000000
12,Him & I,G-Eazy,26,18,12,17,17.500000
13,Perfect,Ed Sheeran,0,0,13,1,0.000000
14,Stargazing,Kygo,12,12,14,10,11.000000
15,New Rules,Dua Lipa,13,5,15,7,6.000000
16,Merry,Nafthaly Ramona,0,0,16,23,0.000000
17,Finesse,Bruno Mars,15,3,17,6,4.500000
18,All Falls Down,Alan Walker,26,18,18,23,20.500000
19,Perfect Duet,Ed Sheeran,26,18,19,1,9.500000
20,So Far Away,Martin Garrix,16,5,20,4,4.500000
21,Too Good At Goodbyes,Sam Smith,17,9,21,7,8.000000
22,Zoutelande,BLOF,18,12,22,23,17.500000
23,Patsergedrag,Sevn Alias,19,12,23,23,17.500000
24,Hop Hop Hop,Lil Kleine,20,7,24,23,15.000000
25,What Lovers Do,Maroon 5,21,12,25,15,13.500000
26,Dusk Till Dawn,ZAYN,26,18,26,13,15.500000
27,Silence,Marshmello,0,0,27,10,0.000000
28,Let Me Go,Hailee Steinfeld,23,9,28,17,13.000000
29,Anywhere,Rita Ora,0,0,29,10,0.000000
30,Feel It Still,Portugal. The Man,25,12,30,17,14.500000
