#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,Blijf Bij Mij,Ronnie Flex,1,14,1,11,12.500000
2,4/5,Ronnie Flex,2,7,2,11,9.000000
3,Officieel,Broederliefde,0,0,3,20,0.000000
4,River,Eminem,0,0,4,4,0.000000
5,Havana,Camila Cabello,5,2,5,7,4.500000
6,rockstar,Post Malone,6,5,6,9,7.000000
7,Wolves,Selena Gomez,7,2,7,17,9.500000
8,New Rules,Dua Lipa,8,5,8,11,8.000000
9,Vervloekt,Frenna,9,14,9,20,17.000000
10,Perfect Duet,Ed Sheeran,27,19,10,1,10.000000
11,In Amsterdam,Sevn Alias,0,0,11,20,0.000000
12,Cono,Puri,11,9,12,20,14.500000
13,I Miss You,Clean Bandit,0,0,13,9,0.000000
14,Let You Down,NF,27,19,14,27,23.000000
15,Perfect,Ed Sheeran,0,0,15,1,0.000000
16,Stargazing,Kygo,14,2,16,4,3.000000
17,Silence,Marshmello,0,0,17,16,0.000000
18,What Lovers Do,Maroon 5,16,8,18,17,12.500000
19,Him & I,G-Eazy,27,19,19,20,19.500000
20,So Far Away,Martin Garrix,17,1,20,4,2.500000
21,Patsergedrag,Sevn Alias,18,9,21,20,14.500000
22,Op Me Monnie,Frenna,19,14,22,20,17.000000
23,Anywhere,Rita Ora,0,0,23,17,0.000000
24,Too Good At Goodbyes,Sam Smith,21,9,24,7,8.000000
25,Shape of You,Ed Sheeran,27,19,25,1,10.000000
26,Merry,Nafthaly Ramona,0,0,26,30,0.000000
27,Dusk Till Dawn,ZAYN,23,9,27,11,10.000000
28,All Falls Down,Alan Walker,24,14,28,27,20.500000
29,Reggaeton Lento,CNCO,25,14,29,27,20.500000
30,What About Us,P!nk,26,9,30,11,10.000000
