#spotify,title,artist,#spotifyTitle,#title,#spotifyArtist,#artist,#average
1,Blijf Bij Mij,Ronnie Flex,1,10,1,11,10.500000
2,4/5,Ronnie Flex,2,5,2,11,8.000000
3,Officieel,Broederliefde,0,0,3,19,0.000000
4,River,Eminem,0,0,4,3,0.000000
5,Cono,Puri,27,19,5,22,20.500000
6,Havana,Camila Cabello,5,2,6,5,3.500000
7,rockstar,Post Malone,6,3,7,19,11.000000
8,Wolves,Selena Gomez,7,1,8,11,6.000000
9,I Miss You,Clean Bandit,0,0,9,17,0.000000
10,Finesse,Bruno Mars,9,8,10,9,8.500000
11,Vervloekt,Frenna,10,17,11,29,23.000000
12,In Amsterdam,Sevn Alias,0,0,12,22,0.000000
13,Him & I,G-Eazy,27,19,13,22,20.500000
14,Perfect,Ed Sheeran,0,0,14,1,0.000000
15,Zoutelande,BLOF,13,14,15,8,11.000000
16,New Rules,Dua Lipa,14,4,16,11,7.500000
17,Stargazing,Kygo,15,10,17,11,10.500000
18,All Falls Down,Alan Walker,16,14,18,6,10.000000
19,So Far Away,Martin Garrix,17,5,19,4,4.500000
20,Merry,Nafthaly Ramona,0,0,20,29,0.000000
21,Too Good At Goodbyes,Sam Smith,19,10,21,22,16.000000
22,Patsergedrag,Sevn Alias,27,19,22,22,20.500000
23,Perfect Duet,Ed Sheeran,27,19,23,1,10.000000
24,Silence,Marshmello,0,0,24,17,0.000000
25,What Lovers Do,Maroon 5,21,14,25,22,18.000000
26,Anywhere,Rita Ora,0,0,26,6,0.000000
27,Let Me Go,Hailee Steinfeld,23,8,27,19,13.500000
28,Homesick,Dua Lipa,24,5,28,11,8.000000
29,Echame La Culpa,Luis Fonsi,25,17,29,22,19.500000
30,Dusk Till Dawn,ZAYN,26,10,30,9,9.500000
