song;artist;username;date;retweets;favorites;geo;mentions;hashtags;id;text
JA!;Bizzey;DJPaulShepherd;2018-01-14 20:22;0;0;"None";@YouTube ; ;952637022178545666;Ik vind een @YouTube-video leuk: https://t.co/93XyN7nW2O Bizzey - JA! ft. Kraantje Pappie, Chivv &amp; Yung Felix
JA!;Bizzey;Goudse40;2018-01-14 20:13;0;0;"None";@bizzey @kraantjepappie @CPeetjee @RonnieFlex2907 @MAAN ; ;952634903899893761;Spotify Top 5 🇳🇱  #1 @bizzey feat. @kraantjepappie &amp; @CPeetjee - Ja! #2 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij… https://t.co/OIzriywpcf
JA!;Bizzey;ItsKevinNL;2018-01-14 18:18;0;0;"None";@YouTube ; ;952605737238384642;Ik vind een @YouTube-video leuk: https://t.co/oya5APKjFj Bizzey - JA! ft. Kraantje Pappie, Chivv &amp; Yung Felix
JA!;Bizzey;Goudse40;2018-01-14 16:57;0;0;"None";@bizzey @kraantjepappie @CPeetjee @blof @Geike_ ; ;952585579123879938;iTunes Top 5 🇳🇱  #1 @bizzey feat. @kraantjepappie &amp; @CPeetjee - Ja! #2 @blof feat. @Geike_ Arnaert - Zoutelande #3… https://t.co/TBwQonQbmH
JA!;Bizzey;Dennisssks;2018-01-14 15:12;0;0;"None";@YouTube ; ;952559103330734081;Ik vind een @YouTube-video leuk: https://t.co/mXZIlZvNw1 Bizzey - JA! ft. Kraantje Pappie, Chivv &amp; Yung Felix
JA!;Bizzey;poetirayyunior;2018-01-14 14:31;0;0;"None";@bizzey ; ;952548845162024960;@bizzey harde track hoor 🤙🏼 https://t.co/87Xra3Pdpz
JA!;Bizzey;HAJALALALA3;2018-01-14 10:38;0;1;"None";@wiIdfire_ @RonnieFlex2907 @Josylvio @bizzey @Broederliefde ; ;952490177058009088;@wiIdfire_ @RonnieFlex2907 @Josylvio @bizzey @Broederliefde Bijna allemaal? Meer dan de helft is buitenlandse muziek lol
JA!;Bizzey;genevievesmans;2018-01-14 10:08;1;0;"None";@3voor12Utrecht ; ;952482562995294208;RT @3voor12Utrecht: 3voor12 Utrecht draait 2: Wildebeast, Yip Roc, DeWolff, Rosemary &amp; Garlic, Blaudzun, Bizzey, Binkbeats https://t.co/tyL…
JA!;Bizzey;3voor12Utrecht;2018-01-14 10:00;1;1;"None";; ;952480641911869441;3voor12 Utrecht draait 2: Wildebeast, Yip Roc, DeWolff, Rosemary &amp; Garlic, Blaudzun, Bizzey, Binkbeats… https://t.co/MiEfKN0yGQ
JA!;Bizzey;Thimo_lk;2018-01-14 08:57;0;0;"None";@wiIdfire_ @RonnieFlex2907 @Josylvio @bizzey @Broederliefde ; ;952464702495449088;@wiIdfire_ @RonnieFlex2907 @Josylvio @bizzey @Broederliefde Ik vind dat toch iets minder vet.
JA!;Bizzey;Noe_avz2;2018-01-14 07:42;2;0;"None";@hayley2710_ @bizzey @kraantjepappie ; ;952445690474614784;RT @hayley2710_: 😍😍😍 @bizzey @kraantjepappie https://t.co/ptOdebU8Ft
JA!;Bizzey;Noe_avz2;2018-01-14 07:41;3;0;"None";@kingwing_info @bizzey @kraantjepappie @CPeetjee @YungFelix ; ;952445671356993536;RT @kingwing_info: https://t.co/eTGOj4qwjX @bizzey  @kraantjepappie @CPeetjee @YungFelix https://t.co/YsPcyliULM
JA!;Bizzey;bizzey;2018-01-14 07:36;1;0;"None";@Goudse40 @bizzey @kraantjepappie @CPeetjee @blof @Geike_ ; ;952444229237669890;RT @Goudse40: iTunes Top 5 🇳🇱  #1 @bizzey feat. @kraantjepappie &amp; @CPeetjee - Ja! #2 @blof feat. @Geike_ Arnaert - Zoutelande #3 @ Camila_C…
JA!;Bizzey;bizzey;2018-01-14 07:36;3;0;"None";@kingwing_info @bizzey @kraantjepappie @CPeetjee @YungFelix ; ;952444210581463040;RT @kingwing_info: https://t.co/eTGOj4qwjX @bizzey  @kraantjepappie @CPeetjee @YungFelix https://t.co/YsPcyliULM
JA!;Bizzey;CPeetjee;2018-01-14 02:58;1;0;"None";@RRSK_ ; ;952374288442642437;RT @RRSK_: Bizzey heeft gewoon weer een topplaag gemaakt. Wat Chivv doet op die track is eng. ENG.
Blijf Bij Mij;Ronnie Flex;EricMMedia;2018-01-14 20:16;0;1;"None";@Diilaa ; ;952635595179876354;@Diilaa Niemand - Ronnie Flex ft. Polska
Blijf Bij Mij;Ronnie Flex;MCDoOfficial1;2018-01-14 12:17;0;0;"None";@YouTube ; ;952515089789308928;Ik vind een @YouTube-video leuk: https://t.co/4UwnWQ0tu4 Ronnie Flex 4/5 x Broederliefde Officieel Reaction Harvey Don TV
4/5;Ronnie Flex;EricMMedia;2018-01-14 20:16;0;1;"None";@Diilaa ; ;952635595179876354;@Diilaa Niemand - Ronnie Flex ft. Polska
4/5;Ronnie Flex;MCDoOfficial1;2018-01-14 12:17;0;0;"None";@YouTube ; ;952515089789308928;Ik vind een @YouTube-video leuk: https://t.co/4UwnWQ0tu4 Ronnie Flex 4/5 x Broederliefde Officieel Reaction Harvey Don TV
Skittle Stacking;Josylvio;joedavinci3;2018-01-14 21:05;0;0;"None";@Josylvio ; ;952647843633909760;@Josylvio Nieuwe GrandiJoes Freestyle ''Art Room'' https://t.co/hFdNoeV1FM
Skittle Stacking;Josylvio;DitIsMilan2000;2018-01-14 20:52;0;0;"None";@YouTube ; ;952644708668510208;Ik vind een @YouTube-video leuk: https://t.co/VSSEpf4iVD Josylvio - Skittle Stacking (prod. Esko)
Skittle Stacking;Josylvio;_daan073;2018-01-14 14:51;0;0;"None";@YouTube ; ;952553644062277637;Ik vind een @YouTube-video leuk: https://t.co/AAerP1A8zc Josylvio - Skittle Stacking (prod. Esko)
Skittle Stacking;Josylvio;errie61;2018-01-14 13:15;0;0;"None";@YouTube ; ;952529617654550530;I liked a @YouTube video https://t.co/7MbCAesmpV Josylvio – Ride Or Die (Ravenna Jade Remix) | FunX Talent Male vs. Female - Finale
Skittle Stacking;Josylvio;Xafiero;2018-01-14 12:37;1;6;"None";@akaRutger @5acium @vPolleX @HHyperion_ ; ;952519994977419265;@akaRutger @5acium @vPolleX @HHyperion_ echt van die dooie tatta's die zo josylvio luisteren word hier zo moe van
Skittle Stacking;Josylvio;Nifarotb1;2018-01-14 11:46;7;0;"None";@Josylvio ; ;952507229583892480;RT @Josylvio: Vannacht a niffaaaaauwwss. https://t.co/4QwptoB2rQ
Skittle Stacking;Josylvio;bashaselager;2018-01-14 11:43;0;0;"None";@YouTube ; ;952506396037320705;Ik vind een @YouTube-video leuk: https://t.co/IF7muAnHNI Josylvio - Skittle Stacking (prod. Esko)
Skittle Stacking;Josylvio;HAJALALALA3;2018-01-14 10:38;0;1;"None";@wiIdfire_ @RonnieFlex2907 @Josylvio @bizzey @Broederliefde ; ;952490177058009088;@wiIdfire_ @RonnieFlex2907 @Josylvio @bizzey @Broederliefde Bijna allemaal? Meer dan de helft is buitenlandse muziek lol
Skittle Stacking;Josylvio;Thimo_lk;2018-01-14 08:57;0;0;"None";@wiIdfire_ @RonnieFlex2907 @Josylvio @bizzey @Broederliefde ; ;952464702495449088;@wiIdfire_ @RonnieFlex2907 @Josylvio @bizzey @Broederliefde Ik vind dat toch iets minder vet.
Havana;Camila Cabello;Esmayvdxwitte;2018-01-14 20:14;0;0;"None";; ;952634925831909376;Voor de mensen die de album van Camila Cabello nog niet heeft geluisterd ; ga het luisteren ik vind het echt zo top… https://t.co/yIPa8oBsxX
Havana;Camila Cabello;thom_langenberg;2018-01-14 19:16;0;0;"None";@YouTube ; ;952620452941369345;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/pGJVFgYeKR Steff Da Campo, Siks vs. Camila Cabello, Young Thug
Havana;Camila Cabello;hits4uradio;2018-01-14 19:01;0;0;"None";; ;952616655057772544;This song is playing: Camila Cabello ft. Young Thug - Havana Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;SAGERLOVESIT;2018-01-14 18:02;0;0;"None";; ;952601818047111169;♫ My Top 5 #lastfm artists: Camila Cabello (133), Taylor Swift (103), BTS (51), Troye Sivan (35) &amp; Anitta (8) via… https://t.co/J1gantppwy
