song;artist;username;date;retweets;favorites;geo;mentions;hashtags;id;text
Blijf Bij Mij;Ronnie Flex;Goudse40;2018-01-04 20:49;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Broederliefde ; ;949019859387670528;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Broederliefde - Offic… https://t.co/FjqGf5rAtU
Blijf Bij Mij;Ronnie Flex;phulskamp;2018-01-04 17:51;0;0;"None";@YouTube ; ;948975182701621248;Ik vind een @YouTube-video leuk: https://t.co/aqX0M2IoxA Ronnie Flex Ft. Maan - Blijf Bij Mij (Giocatori Remix)
4/5;Ronnie Flex;martinisgarrix;2018-01-04 20:51;3;0;"None";@Team_MGarrix ; ;949020573954334720;RT @Team_MGarrix: Round 2 : [4/5]
4/5;Ronnie Flex;Goudse40;2018-01-04 20:49;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Broederliefde ; ;949019859387670528;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Broederliefde - Offic… https://t.co/FjqGf5rAtU
4/5;Ronnie Flex;Cloodsak;2018-01-04 20:32;0;0;"None";@YouTube ; ;949015803889881088;Ik vind een @YouTube-video leuk: https://t.co/UF9yRZKz5v Ronnie Flex - 4/5 (prod. Trobi)
4/5;Ronnie Flex;Cloodsak;2018-01-04 20:27;0;0;"None";@YouTube ; ;949014409912946688;Ik vind een @YouTube-video leuk: https://t.co/V7hUtkmun7 Ronnie Flex - 4/5 (prod. Simon de Wit) PARODY
4/5;Ronnie Flex;Team_MGarrix;2018-01-04 17:03;3;2;"None";; ;948963048152293376;Round 2 : [4/5]
4/5;Ronnie Flex;AnaS199876;2018-01-04 16:24;43;0;"None";@rcbrandao13 ; ;948953220398964737;RT @rcbrandao13: Como é q é suposto adormecer se estou habituado a deitar-me as 4/5/6?
4/5;Ronnie Flex;vakantiehuizenz;2018-01-04 14:17;0;0;"None";; ;948921383437979648;La Foret 2p 4/5 #vakantiehuis #frankrijk #flaine https://t.co/KLxI0h9CDh
4/5;Ronnie Flex;Aidanhope__;2018-01-04 12:09;0;0;"None";; ;948889133191188485;Oke ik heb 4/5 bitches aan de lijn😡
4/5;Ronnie Flex;EstateMakelaar;2018-01-04 10:49;0;0;"None";; ;948868964494569473;Nieuwe foto's Koolmees 223 te Ridderkerk! In Ridderkerk-Drievliet op centrale en groene locatie gelegen, ruime 4/5… https://t.co/QzbzolfuCI
4/5;Ronnie Flex;interessamt;2018-01-04 10:19;1;0;"None";@OfficieelStef @YouTube ; ;948861426462060545;RT @OfficieelStef: Ik vind een @YouTube-video leuk: https://t.co/vPGV0zrrXX Ronnie Flex - 4/5 (prod. Simon de Wit) PARODY
4/5;Ronnie Flex;hondenmannetje;2018-01-04 08:38;0;0;"None";@YouTube ; ;948835909419577344;I liked a @YouTube video https://t.co/Y62hm44ZxA HOEVEEL IS JOUW OUTFIT WAARD!! (Jiami) 4/5 Strikes
4/5;Ronnie Flex;kodiackiller;2018-01-04 07:00;83;0;"None";@yzylab ; ;948811359956979713;RT @yzylab: First look at the Cream White (AC7031) and Footwear White (AC7032) Human Race NMD. All pairs will be $240. (4/5 pairs).  📸 @ret…
4/5;Ronnie Flex;OfficieelStef;2018-01-04 02:29;1;4;"None";@YouTube ; ;948743174956208133;Ik vind een @YouTube-video leuk: https://t.co/vPGV0zrrXX Ronnie Flex - 4/5 (prod. Simon de Wit) PARODY
Officieel;Broederliefde;miquelvisser83;2018-01-04 23:27;5;0;"None";@AjaxFanzoneNL ; ;949059675105910784;RT @AjaxFanzoneNL: Tagliafico nog niet officieel gepresenteerd maar wel al op de foto in Arena https://t.co/RaQ9DfYUoQ https://t.co/obrJvxx…
Officieel;Broederliefde;robinafca23;2018-01-04 23:26;5;0;"None";@AjaxFanzoneNL ; ;949059459564752896;RT @AjaxFanzoneNL: Tagliafico nog niet officieel gepresenteerd maar wel al op de foto in Arena https://t.co/RaQ9DfYUoQ https://t.co/obrJvxx…
Officieel;Broederliefde;sasa21042000;2018-01-04 23:10;5;0;"None";@AjaxFanzoneNL ; ;949055396215390208;RT @AjaxFanzoneNL: Tagliafico nog niet officieel gepresenteerd maar wel al op de foto in Arena https://t.co/RaQ9DfYUoQ https://t.co/obrJvxx…
Officieel;Broederliefde;LuukDeKoning;2018-01-04 23:09;5;0;"None";@AjaxFanzoneNL ; ;949055246705287168;RT @AjaxFanzoneNL: Tagliafico nog niet officieel gepresenteerd maar wel al op de foto in Arena https://t.co/RaQ9DfYUoQ https://t.co/obrJvxx…
Officieel;Broederliefde;AjaxFanzoneNL;2018-01-04 23:09;5;14;"None";; ;949055119303168001;Tagliafico nog niet officieel gepresenteerd maar wel al op de foto in Arena https://t.co/RaQ9DfYUoQ https://t.co/obrJvxxiSY
Officieel;Broederliefde;LincyNajee;2018-01-04 22:49;0;0;"None";; ;949050284654907392;2018 is officieel begonnen ☺
