song;artist;username;date;retweets;favorites;geo;mentions;hashtags;id;text
Blijf Bij Mij;Ronnie Flex;Goudse40;2018-01-11 21:19;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Eminem ; ;951564173581934592;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Eminem feat.… https://t.co/RG01DwXJCZ
Blijf Bij Mij;Ronnie Flex;OfficieelStef;2018-01-11 15:40;0;3;"None";@YouTube ; ;951478835668832256;Ik vind een @YouTube-video leuk: https://t.co/Bakb7cNI7g Ronnie Flex - Blijf Bij Mij ft. Maan (prod. Jack $hirak)
Blijf Bij Mij;Ronnie Flex;SometimesDevvx;2018-01-11 12:41;0;0;"None";@DarcyLazar ; ;951433801900675072;@DarcyLazar happier en perfect van ed sheeran en touch it van Ariana en blijf bij mij van ronnie flex en maan zijn… https://t.co/OJN3JubPw8
4/5;Ronnie Flex;Goudse40;2018-01-11 21:19;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Eminem ; ;951564173581934592;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Eminem feat.… https://t.co/RG01DwXJCZ
4/5;Ronnie Flex;ironnics;2018-01-11 13:28;0;2;"None";; ;951445685240463361;música é uma doideira, né? fazia no mínimo uns 4/5 anos que não ouvia uma música específica... acabei de botar e se… https://t.co/u0L3a3EphG
4/5;Ronnie Flex;hugovdsteen;2018-01-11 12:07;0;1;"None";; ;951425276294127616;Nieuwgein-Utrecht 6/7 km. Zeist-uithof 7 km. Bunnik-Utrecht 4/5 km.Prima te fietsen. Gezond naar het werk, waar je… https://t.co/m5eQY8e2YK
4/5;Ronnie Flex;Nutt007;2018-01-11 09:49;27;0;"None";@Marco_Langbroek ; ;951390505434255360;RT @Marco_Langbroek: (4/5) So at the moment, I am "suspicious" of these rumours. I would tend to dismiss them, unless a clear statement is…
4/5;Ronnie Flex;Spoorwegveilig;2018-01-11 01:24;0;1;"None";; ;951263488504160256;Inmiddels alweer even aanwezig voor nachtdienst 4/5. Vandaag alleen ondersteunend aanwezig als VKR tbv #slijpen sta… https://t.co/BlutQCLgQz
Officieel;Broederliefde;JolandaJojo1964;2018-01-11 23:37;1;0;"None";@omroepwest ; ;951598967044956160;RT @omroepwest: Feestjaar Scheveningen officieel afgetrapt https://t.co/BGvbgGdKGw
Officieel;Broederliefde;schollengids;2018-01-11 23:18;0;0;"None";; ;951594193457164288;Feestjaar Scheveningen officieel afgetrapt - Omroep West https://t.co/XS1jlVBZRa https://t.co/tj0SGA3sWK
