song;artist;username;date;retweets;favorites;geo;mentions;hashtags;id;text
Blijf Bij Mij;Ronnie Flex;troy_craanen;2018-01-06 23:17;0;0;"None";@_Luuksoflex ; ;949781906937270272;@_Luuksoflex Ronnie flex is gwn goeie
Blijf Bij Mij;Ronnie Flex;wijpie;2018-01-06 21:42;0;0;"{u'type': u'Point', u'coordinates': [52.36468, 4.93789]}";; ;949758119223222279;Next summer: RONNIE FLEX🎥! Turn up☀🌴✈ . . #ronnieflex #turnup #welovetotour #welovetoparty… https://t.co/WP25bG9F2T
Blijf Bij Mij;Ronnie Flex;GeloofenKerk;2018-01-06 19:02;4;0;"None";@EOnl ; ;949717943318974465;RT @EOnl: "Als ik Lil' Kleine, Boef of Ronnie Flex tegenkom geef ik ze een boks en maak ik een praatje. Maar als het moment daar is, vertel…
Blijf Bij Mij;Ronnie Flex;Vincent_Schets;2018-01-06 18:19;0;0;"None";@YouTube ; ;949707001315184645;Ik vind een @YouTube-video leuk: https://t.co/ZuQMVYMvvd Ronnie Flex - 4/5 (behind the scenes)
Blijf Bij Mij;Ronnie Flex;arjen_vz;2018-01-06 13:08;0;0;"None";@V1ctorW @Vintagerun ; ;949628767382753282;@V1ctorW @Vintagerun Dumpert stond een tijd vol met posts over lil kleine en ronnie flex die bierdouches kregen
Blijf Bij Mij;Ronnie Flex;OfficieelStef;2018-01-06 11:30;0;2;"None";@YouTube ; ;949604203437154310;Ik vind een @YouTube-video leuk: https://t.co/DcvWNYDo6a Ronnie Flex - 4/5 (behind the scenes)
4/5;Ronnie Flex;troy_craanen;2018-01-06 23:17;0;0;"None";@_Luuksoflex ; ;949781906937270272;@_Luuksoflex Ronnie flex is gwn goeie
4/5;Ronnie Flex;wijpie;2018-01-06 21:42;0;0;"{u'type': u'Point', u'coordinates': [52.36468, 4.93789]}";; ;949758119223222279;Next summer: RONNIE FLEX🎥! Turn up☀🌴✈ . . #ronnieflex #turnup #welovetotour #welovetoparty… https://t.co/WP25bG9F2T
4/5;Ronnie Flex;GeloofenKerk;2018-01-06 19:02;4;0;"None";@EOnl ; ;949717943318974465;RT @EOnl: "Als ik Lil' Kleine, Boef of Ronnie Flex tegenkom geef ik ze een boks en maak ik een praatje. Maar als het moment daar is, vertel…
4/5;Ronnie Flex;Vincent_Schets;2018-01-06 18:19;0;0;"None";@YouTube ; ;949707001315184645;Ik vind een @YouTube-video leuk: https://t.co/ZuQMVYMvvd Ronnie Flex - 4/5 (behind the scenes)
4/5;Ronnie Flex;arjen_vz;2018-01-06 13:08;0;0;"None";@V1ctorW @Vintagerun ; ;949628767382753282;@V1ctorW @Vintagerun Dumpert stond een tijd vol met posts over lil kleine en ronnie flex die bierdouches kregen
4/5;Ronnie Flex;OfficieelStef;2018-01-06 11:30;0;2;"None";@YouTube ; ;949604203437154310;Ik vind een @YouTube-video leuk: https://t.co/DcvWNYDo6a Ronnie Flex - 4/5 (behind the scenes)
Officieel;Broederliefde;parasiempre_010;2018-01-06 22:55;0;4;"None";; ;949776407256813568;Wanneer ben je tekort geschoten in de opvoeding van je #kinderen ? Als ze naar #lilkleine #broederliefde en #Boef l… https://t.co/spACQCtR2B
Officieel;Broederliefde;DaniellePlgmkrs;2018-01-06 19:44;0;0;"None";; ;949728503506915328;Nieuwe favoriet: Broederliefde / #JM https://t.co/0M9uAlkVH6 @DeezerNederland
Officieel;Broederliefde;Goudse40;2018-01-06 18:59;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Broederliefde ; ;949717107977195525;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Broederliefde - Offic… https://t.co/Wm1Wqb4YwU
Officieel;Broederliefde;DitIsMilan2000;2018-01-06 16:46;0;0;"None";@YouTube ; ;949683548797198336;Ik vind een @YouTube-video leuk: https://t.co/FPpRqtcPJz Broederliefde gemindf*ckt | MINDF*CK oudejaarsspecial
Officieel;Broederliefde;RaceXpress;2018-01-06 13:18;0;0;"None";; ;949631274154536960;VIDEO: Broederliefde met Tim en Tom Coronel in Dakar 2018! Tom heeft niet meer alleen te overnachten in de woestijn https://t.co/6iGO8ED6lR
River;Eminem;AnasCortezReina;2018-01-06 22:12;0;1;"None";; ;949765681096077313;Thierry en Jort alhoewel ik hier Dr. Dré en Eminem te kort doe. https://t.co/vyEt4UWcjX https://t.co/vyEt4UWcjX
River;Eminem;AnasCortezReina;2018-01-06 22:07;0;0;"None";; ;949764416781856768;STAN - Eminem https://t.co/HKVVyo7hJR
River;Eminem;Orlando_Miracle;2018-01-06 18:49;1;0;"None";@darealdopefresh ; ;949714620129964033;RT @darealdopefresh: COACHELLA 2018  LINE UP🔥🙌🏽 The Weeknd, Beyoncé and Eminem are all set to headline. The full lineup for Coachella... ht…
River;Eminem;RowsiLuLuAmber;2018-01-06 14:34;0;1;"None";; ;949650427754303489;Hahaha with dark hair i look like Eminem &amp; as a blonde like Nick Carter I am too HOT!! Hilariousss!!… https://t.co/iJHKbiFrN1
River;Eminem;RowsiLuLuAmber;2018-01-06 14:26;0;0;"None";@Eminem ; ;949648283449913344;@Eminem hahah you &amp; me lmao https://t.co/OjEKs30CAm
River;Eminem;Fresh_HipHopRnB;2018-01-06 12:12;0;3;"None";@kendricklamar @trvisXX @QuavoStuntin @Eminem @G_Eazy ; ;949614644318162945;ALBUM SALES (week 1, 2018): @KendrickLamar, @TrvisXX, @QuavoStuntin, @Eminem, @G_Eazy &amp; more!… https://t.co/6G7CB4gIZq
River;Eminem;CasperDeWinter;2018-01-06 10:47;0;0;"None";@Robbin_V ; ;949593287169540097;@Robbin_V Prima #1 nog steeds, goede binnenkomers Migos en Eminem
River;Eminem;MartijnHoeven83;2018-01-06 08:58;0;0;"None";@YouTube ; ;949565944342466560;Ik vind een @YouTube-video leuk: https://t.co/0Q4JFBXkgd "Weird Al" Yankovic - The Eminem Interview
River;Eminem;hits4uradio;2018-01-06 07:55;0;0;"None";; ;949550012069007360;This song is playing: Eminem - River (feat. Ed Sheeran) Listen: https://t.co/Yu55BIA5JO
River;Eminem;hits4uradio;2018-01-06 07:35;0;0;"None";; ;949544862701031424;This song is playing: Eminem ft. Beyoncé - Walk on water Listen: https://t.co/Yu55BIA5JO
River;Eminem;joel_brands;2018-01-06 06:38;0;0;"None";@YouTube ; ;949530667725021189;Ik vind een @YouTube-video leuk: https://t.co/gUeShIu4VJ Eminem - Not Afraid
River;Eminem;WildHitradio;2018-01-06 06:38;0;0;"None";; ;949530486400983041;Nu op Wild: eminem &amp; ed sheeran - river . Luister mee: https://t.co/N9oXzJafZZ #np #radio #music https://t.co/wnoR8pjpb0
Havana;Camila Cabello;hits4uradio;2018-01-06 10:44;0;0;"None";; ;949592460069625856;This song is playing: Camila Cabello - Crying in the Club Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;hits4uradio;2018-01-06 08:36;0;0;"None";; ;949560302185668608;This song is playing: Camila Cabello - Never Be the Same Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;Centraal_DH;2018-01-06 01:33;0;0;"None";; ;949453883134398464;Camila Cabello met Havana aangevraagd door edgar.
Wolves;Selena Gomez;ixesraaa;2018-01-06 22:25;31;0;"None";@GomezCommunion ; ;949768824504619008;RT @GomezCommunion: This is my favourite Selena Gomez performance of all time. She won't top this one ever, I swear, everything was literal…
Wolves;Selena Gomez;hits4uradio;2018-01-06 18:24;0;0;"None";; ;949708225091432449;This song is playing: Selena Gomez - Bad Liar Listen: https://t.co/Yu55BIA5JO
Wolves;Selena Gomez;TyreeseArendse;2018-01-06 07:25;5;0;"None";@CelebStarletXXX ; ;949542523650834433;RT @CelebStarletXXX: Selena Gomez shows Waverly #Shemale Cock #Futa https://t.co/XDAfy7Z3Mb #celeb #futanari #tgirl #tranny #SelenaGomez ht…
Wolves;Selena Gomez;hits4uradio;2018-01-06 00:30;0;0;"None";; ;949438101373546496;This song is playing: Selena Gomez - Bad Liar Listen: https://t.co/Yu55BIA5JO
rockstar;Post Malone;OfficieelStef;2018-01-06 21:20;0;3;"None";@YouTube ; ;949752578836922368;Ik vind een @YouTube-video leuk: https://t.co/MyCw0lxsXv Post Malone - Rockstar (Johnny Orlando Cover)
rockstar;Post Malone;3dollarchain;2018-01-06 15:19;0;1;"None";; ;949661778815934465;FAV POST MALONE STAN https://t.co/xquiP9mON6
I Miss You;Clean Bandit;hits4uradio;2018-01-06 14:49;0;0;"None";; ;949654206100721664;This song is playing: Clean Bandit feat. Louisa Johnson - Tears Listen: https://t.co/Yu55BIA5JO
I Miss You;Clean Bandit;MARlANNEMARKUS;2018-01-06 13:52;0;0;"None";@YouTube ; ;949639741451980800;Clean Bandit - Rockabye ft. Sean Paul &amp; Anne-Marie [Official Video] https://t.co/cteiDTCIHR via @YouTube
I Miss You;Clean Bandit;hits4uradio;2018-01-06 13:43;0;0;"None";; ;949637485537251328;This song is playing: Clean Bandit - Symphony (feat. Zara Larsson) Listen: https://t.co/Yu55BIA5JO
I Miss You;Clean Bandit;deepplaylist;2018-01-06 11:36;0;0;"None";; ;949605566040723456;Nu on air: Clean Bandit ft Jess Glynne - Rather Be https://t.co/shpWE32VKS
New Rules;Dua Lipa;hits4uradio;2018-01-06 23:05;0;0;"None";; ;949778960946204672;This song is playing: Dua Lipa - New rules Listen: https://t.co/Yu55BIA5JO
New Rules;Dua Lipa;duamood;2018-01-06 18:01;0;10;"None";; ;949702527301357569;Room for 2 by Dua Lipa is a big mood
New Rules;Dua Lipa;hits4uradio;2018-01-06 16:31;0;0;"None";; ;949679926663372800;This song is playing: Dua Lipa - New rules Listen: https://t.co/Yu55BIA5JO
New Rules;Dua Lipa;hits4uradio;2018-01-06 14:19;0;0;"None";; ;949646486660317186;This song is playing: Dua Lipa - Homesick Listen: https://t.co/Yu55BIA5JO
New Rules;Dua Lipa;sparlkingmilk;2018-01-06 04:39;1;0;"None";@duamood ; ;949500522406428673;RT @duamood: Can people please not have their name as DUA LIPA I just got a heart attack I really thought she liked my tweet
Perfect;Ed Sheeran;Domien;2018-01-06 23:08;7;138;"None";; ;949779786213322752;BREAKING: A-ster brengt album uit zónder Ed Sheeran collab! 😱 https://t.co/FfFrU0d3c9
Perfect;Ed Sheeran;euphoricbrood;2018-01-06 20:39;1;0;"None";@ctrlclaire ; ;949742206029529088;RT @ctrlclaire: My cousin thinks zayn malik is ugly but finds ed sheeran attractive https://t.co/Hu3Y0p3ERq
Perfect;Ed Sheeran;Shatou_1994;2018-01-06 18:26;0;1;"None";; ;949708850566979587;Ed Sheeran makes me want to write
Perfect;Ed Sheeran;hits4uradio;2018-01-06 18:18;0;0;"None";; ;949706680278880256;Listen to Ed Sheeran Thinking Out Loud On Chillhits4U Radio
Perfect;Ed Sheeran;hits4uradio;2018-01-06 15:20;0;0;"None";; ;949661918691844096;This song is playing: Taylor Swift - End Game ft Ed Sheeran Listen: https://t.co/Yu55BIA5JO
Perfect;Ed Sheeran;ctrlclaire;2018-01-06 14:37;1;6;"None";; ;949651134322499584;My cousin thinks zayn malik is ugly but finds ed sheeran attractive https://t.co/Hu3Y0p3ERq
Perfect;Ed Sheeran;hits4uradio;2018-01-06 13:17;0;0;"None";; ;949631054905794560;This song is playing: Ed Sheeran - Perfect Listen: https://t.co/Yu55BIA5JO
Perfect;Ed Sheeran;OrangeWave_nl;2018-01-06 09:39;0;0;"None";; ;949576172462948352;ICYMI: #Growthhacking How to Avoid Ed Sheeran’s Marketing Disaster https://t.co/hZHfx3AWq3 https://t.co/shZu7lMOY9
