song;artist;username;date;retweets;favorites;geo;mentions;hashtags;id;text
Blijf Bij Mij;Ronnie Flex;Goudse40;2018-01-08 20:02;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Broederliefde ; ;950457820574552065;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Broederliefde - Offic… https://t.co/ZJZykNzVun
Blijf Bij Mij;Ronnie Flex;killa2thug;2018-01-08 18:31;0;0;"None";@YouTube ; ;950434882836197376;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/R7ZZ1pWlLS Ronnie Flex - Blijf Bij Mij ft. Maan (prod. Jack
Blijf Bij Mij;Ronnie Flex;az_idema;2018-01-08 09:45;17;0;"None";@OfficieelStef @RonnieFlex2907 ; ;950302350660554752;RT @OfficieelStef: Blijf bij mij is lit 🔥 @RonnieFlex2907 https://t.co/iN69bEx9GA
4/5;Ronnie Flex;murphypak;2018-01-08 23:46;22;0;"None";@Marco_Langbroek ; ;950514064136040449;RT @Marco_Langbroek: (4/5) So at the moment, I am "suspicious" of these rumours. I would tend to dismiss them, unless a clear statement is…
4/5;Ronnie Flex;Cosmicstrenght3;2018-01-08 23:35;22;0;"None";@Marco_Langbroek ; ;950511291688464384;RT @Marco_Langbroek: (4/5) So at the moment, I am "suspicious" of these rumours. I would tend to dismiss them, unless a clear statement is…
4/5;Ronnie Flex;Cosmic_Penguin;2018-01-08 23:33;22;0;"None";@Marco_Langbroek ; ;950510828444270592;RT @Marco_Langbroek: (4/5) So at the moment, I am "suspicious" of these rumours. I would tend to dismiss them, unless a clear statement is…
4/5;Ronnie Flex;pfc_joker;2018-01-08 23:31;22;0;"None";@Marco_Langbroek ; ;950510273881870338;RT @Marco_Langbroek: (4/5) So at the moment, I am "suspicious" of these rumours. I would tend to dismiss them, unless a clear statement is…
4/5;Ronnie Flex;Marco_Langbroek;2018-01-08 23:20;22;87;"None";; ;950507418701660160;(4/5) So at the moment, I am "suspicious" of these rumours. I would tend to dismiss them, unless a clear statement… https://t.co/rJzouk1Hb0
4/5;Ronnie Flex;killa2thug;2018-01-08 20:11;0;0;"None";@YouTube ; ;950459997959340032;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/xgxJQ4JyaZ Ronnie Flex - 4/5 (prod. Trobi) [Titelsong Patser]
4/5;Ronnie Flex;Goudse40;2018-01-08 20:02;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Broederliefde ; ;950457820574552065;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Broederliefde - Offic… https://t.co/ZJZykNzVun
4/5;Ronnie Flex;Imkevdoorn;2018-01-08 18:51;0;3;"None";; ;950439896304488449;Waarom disrespect hij 4/5 zo erg 😭😭😭 https://t.co/iDZYgwdwPJ
4/5;Ronnie Flex;OfficieelStef;2018-01-08 16:06;0;3;"None";@YouTube ; ;950398240549167104;Ik vind een @YouTube-video leuk: https://t.co/tXD9n4TjUi Ronnie Flex - 4/5 (prod. Trobi) PARODY
4/5;Ronnie Flex;OfficieelStef;2018-01-08 16:06;0;2;"None";@YouTube ; ;950398239882268673;Ronnie Flex - 4/5 (prod. Trobi) PARODY: https://t.co/tXD9n4TjUi via @YouTube
4/5;Ronnie Flex;PorzingisNYK;2018-01-08 13:30;0;0;"None";@RipCityGoon @SlimWeeper ; ;950359120569303040;@RipCityGoon @SlimWeeper Switch 4/5
4/5;Ronnie Flex;huisarts;2018-01-08 03:46;0;0;"None";; ;950211983101517824;Vage trilling: Ik heb naast mijn neus (zeg 4/5 vm onder mij oog) al twee dage lang last van een soort vage spiertre… https://t.co/kvBiIoz0RA
Officieel;Broederliefde;huurdersopstand;2018-01-08 21:35;9;0;"None";@CodyHochstenB @urbgeog ; ;950481061766750208;RT @CodyHochstenB: Mijn paper met Sako Musterd over gentrificatie en de suburbanisatie van armoede is nu officieel verschenen in @urbgeog h…
Officieel;Broederliefde;GuidoSpekman;2018-01-08 21:27;0;0;"None";@wilmederoon @am_isforamber ; ;950479220853047296;@wilmederoon @am_isforamber Of dit officieel in de spelregels staat weet ik niet, maar lijkt mij wel redelijk aanneembaar.. 👍
Officieel;Broederliefde;TacoVoorman;2018-01-08 21:03;1;0;"None";@Ctrl_Improve ; ;950473052294385664;RT @Ctrl_Improve: Vanaf vandaag is Ctrl Improve officieel EXIN Accredited Training Organization (ATO) for DevOps Professional. Onze trainer…
Officieel;Broederliefde;cootte1962;2018-01-08 20:32;0;9;"None";; ;950465177610223616;Hierbij verklaar ik Ocke officieel als de gluiperd van  #helemaalheteinde
Officieel;Broederliefde;sonnyvankooten;2018-01-08 20:25;0;0;"None";@ROCHorizon ; ;950463574757068808;Per 1 februari 2018 ben ik officieel #docent bij @ROCHorizon voor de domeinen: #Financiële #beroepen, #ICT en… https://t.co/1akfnjuxFO
Officieel;Broederliefde;killa2thug;2018-01-08 20:10;0;0;"None";@YouTube ; ;950459839607533568;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/qU0DMiyHwz Broederliefde - Officieel (prod. Soundflow)
Officieel;Broederliefde;koryoinleiden;2018-01-08 19:38;0;0;"None";; ;950451602246299648;En dan gaat vaak ook nog om de facto situaties officieel maken: opleidingen zonder NL medewerkers waar al (bijna) a… https://t.co/506NIJIXzt
Officieel;Broederliefde;VeelzijdigVeili;2018-01-08 19:27;2;2;"None";@HetCCV ; ;950448818843209729;Vandaag de eerste groep ondernemers in #DeMare officieel aangemeld als deelnemer @HetCCV Aanpak vanuit gezamenlijkh… https://t.co/IG60lcaFZ4
Officieel;Broederliefde;GijsvandeGroep;2018-01-08 19:13;1;0;"None";@RickHopman ; ;950445436153704448;RT @RickHopman: Afslag Bunschoten-Spakenburg is dus officieel Amersfoort West geworden. Benieuwd wanneer we officieel een wijk van Amersfoo…
Officieel;Broederliefde;JoostEerland;2018-01-08 18:56;0;0;"None";@IRijnmond @rijnmondveilig @Vr_RR ; ;950441118595940352;@IRijnmond @rijnmondveilig Oké. Wel officieel account van @Vr_RR?
Officieel;Broederliefde;pietersas;2018-01-08 18:44;0;0;"{u'type': u'Point', u'coordinates': [51.55, 5.11667]}";; ;950438184613220352;Officieel, ik vindt boerenkool lekker! #boerenkool #pilav #meergranenrijst #pompoen #healthyfood… https://t.co/anecEpwaVC
Officieel;Broederliefde;Ctrl_Improve;2018-01-08 18:11;1;1;"None";; ;950429786219958272;Vanaf vandaag is Ctrl Improve officieel EXIN Accredited Training Organization (ATO) for DevOps Professional. Onze t… https://t.co/oIydAYiNh0
Officieel;Broederliefde;Agile_Planning;2018-01-08 18:08;0;0;"None";; ;950429027533230080;EXIN DevOps Professional - ATO - Vanaf vandaag is Ctrl Improve officieel EXIN Accredited Training... https://t.co/j1ZYxwByKb
Officieel;Broederliefde;RickHopman;2018-01-08 18:05;1;2;"None";; ;950428334529417216;Afslag Bunschoten-Spakenburg is dus officieel Amersfoort West geworden. Benieuwd wanneer we officieel een wijk van… https://t.co/RmynUjy93B
Officieel;Broederliefde;LangeToepie;2018-01-08 17:21;0;0;"None";; ;950417107551948801;Officieel dus, Alexis de aankomende weken gaat vertrekken.  We hadden dus 1 vd beste spelers uit de PL in ploeg en… https://t.co/gxA5IqyNPi
Officieel;Broederliefde;JrgnHoogendoorn;2018-01-08 17:11;9;0;"None";@CodyHochstenB @urbgeog ; ;950414586582306818;RT @CodyHochstenB: Mijn paper met Sako Musterd over gentrificatie en de suburbanisatie van armoede is nu officieel verschenen in @urbgeog h…
Officieel;Broederliefde;ceessmit;2018-01-08 17:08;0;1;"None";@sylmout ; ;950413971319902213;@sylmout Ik ben positief op flow. Technisch zijn ze aan het uitbodemen. Officieel nog geen koopsignalen in TA. Fund… https://t.co/kVvnt7iZnC
Officieel;Broederliefde;KimRaven;2018-01-08 17:03;0;1;"None";@JustRobert13 ; ;950412648281247744;@JustRobert13 Ja officieel mag het net niet volgens mij, maar zouden we eerst ff binnen moeten proberen. Of ik een stukje omhoog vlieg 😎
Officieel;Broederliefde;SPORTNEXT;2018-01-08 16:24;0;0;"None";; ;950402726776668162;Philippe Coutinho is officieel gepresenteerd bij FC Barcelona. Dankzij Nike wisten we al even dat deze transfer era… https://t.co/n2myRkew7u
Officieel;Broederliefde;IrenevanSchie;2018-01-08 15:40;0;3;"None";; ;950391806419787777;Het is officieel: Van Schie Tekent en Tekst staat ingeschreven bij de Kamer van Koophandel!   #trots #eigenbedrijf… https://t.co/p1S29cPxzi
Officieel;Broederliefde;bladna_nl;2018-01-08 15:38;0;0;"None";; ;950391201391366145;RedOne maakt officieel liedje WK-2018 https://t.co/hZAzSXzgmu #marokko
Officieel;Broederliefde;falderappes;2018-01-08 15:03;0;0;"None";; ;950382411774332928;Oh gut, het is officieel. Deze app bevestigt nogmaals dat ik mijn lever niet zeker ben.  https://t.co/C6xHJHyNS6
Officieel;Broederliefde;europeanUnity;2018-01-08 14:54;9;0;"None";@CodyHochstenB @urbgeog ; ;950380240735428608;RT @CodyHochstenB: Mijn paper met Sako Musterd over gentrificatie en de suburbanisatie van armoede is nu officieel verschenen in @urbgeog h…
Officieel;Broederliefde;BarneveldseKrnt;2018-01-08 14:44;0;0;"None";; ;950377651591634945;'Fantastisch dat je zo een breed publiek bereikt' BARNEVELD Kunstetalages Barneveld is zaterdag officieel geopend d… https://t.co/a7A6tO6YvC
Officieel;Broederliefde;Haagsamvoetbal;2018-01-08 14:02;0;1;"None";@hsvvuc ; ;950367218730176512;Officieel: Moen tekent voor 6e jaar bij @hsvvuc https://t.co/5LxxB3BqMv
Officieel;Broederliefde;HansSchuurman1;2018-01-08 13:45;0;0;"None";; ;950362771576836096;Marktfietsen moet officieel verboden worden, Julian van der Kraats (SP) dient donderdag daartoe een raadsvoorstel i… https://t.co/7btZ5qz577
Officieel;Broederliefde;BarcaHere;2018-01-08 13:16;1;0;"None";@voetbalzonenl @Phil_Coutinho @FCBarcelona ; ;950355409663156230;RT @voetbalzonenl: OFFICIEEL | @Phil_Coutinho mag zich nu echt speler van @FCBarcelona noemen, want hij heeft getekend tot medio 2023 #fcb…
Officieel;Broederliefde;NUsport;2018-01-08 12:58;0;0;"None";@FCBarcelona ; ;950350888278904833;Philippe Coutinho, de man van 160 miljoen, is officieel gepresenteerd door @FCBarcelona https://t.co/6JT4yiExaM https://t.co/wOfwq7SkD1
Officieel;Broederliefde;voetbalzonenl;2018-01-08 12:53;1;4;"None";@Phil_Coutinho @FCBarcelona ; ;950349632781070336;OFFICIEEL | @Phil_Coutinho mag zich nu echt speler van @FCBarcelona noemen, want hij heeft getekend tot medio 2023… https://t.co/63llCAHkNq
Officieel;Broederliefde;Peter_Apeldoorn;2018-01-08 12:37;1;0;"None";@voetbalzonenl @simzci @rodajckerkrade ; ;950345641041031168;RT @voetbalzonenl: Officieel: @simzci maakt het seizoen af bij @rodajckerkrade #feyenoord #gustafson https://t.co/58ADECJgQD
Officieel;Broederliefde;TheManArthur;2018-01-08 12:29;2;0;"None";@BusinessClubSdm @debeursschiedam ; ;950343719345061889;RT @BusinessClubSdm: Vandaag zullen we officieel van start gaan!! Tijdens de #Nieuwjaarsborrel van SAAR in @debeursschiedam Vanaf 17:00 uur…
Officieel;Broederliefde;SpartyPromo;2018-01-08 12:28;2;0;"None";@BusinessClubSdm @debeursschiedam ; ;950343516273758208;RT @BusinessClubSdm: Vandaag zullen we officieel van start gaan!! Tijdens de #Nieuwjaarsborrel van SAAR in @debeursschiedam Vanaf 17:00 uur…
Officieel;Broederliefde;BusinessClubSdm;2018-01-08 12:28;2;2;"None";@debeursschiedam ; ;950343374049079299;Vandaag zullen we officieel van start gaan!! Tijdens de #Nieuwjaarsborrel van SAAR in @debeursschiedam Vanaf 17:00… https://t.co/YZ9YrLiIwM
Officieel;Broederliefde;voetbalzonenl;2018-01-08 12:22;1;0;"None";@simzci @rodajckerkrade ; ;950341831295938560;Officieel: @simzci maakt het seizoen af bij @rodajckerkrade #feyenoord #gustafson https://t.co/58ADECJgQD
Officieel;Broederliefde;leonvkeulen;2018-01-08 11:46;9;0;"None";@CodyHochstenB @urbgeog ; ;950332794684796933;RT @CodyHochstenB: Mijn paper met Sako Musterd over gentrificatie en de suburbanisatie van armoede is nu officieel verschenen in @urbgeog h…
Officieel;Broederliefde;Callumny;2018-01-08 11:32;9;0;"None";@CodyHochstenB @urbgeog ; ;950329439426097156;RT @CodyHochstenB: Mijn paper met Sako Musterd over gentrificatie en de suburbanisatie van armoede is nu officieel verschenen in @urbgeog h…
Officieel;Broederliefde;ZinderTiel;2018-01-08 11:20;0;1;"None";@Agnietenhof ; ;950326282721595392;Het is officieel! Samen met Schouwburg &amp; Filmtheater @Agnietenhof vormen we sinds 1 januari 2018 één organisatie: C… https://t.co/bS9724n3ta
Officieel;Broederliefde;M_Wiedemeijer;2018-01-08 11:17;9;0;"None";@CodyHochstenB @urbgeog ; ;950325683963748352;RT @CodyHochstenB: Mijn paper met Sako Musterd over gentrificatie en de suburbanisatie van armoede is nu officieel verschenen in @urbgeog h…
Officieel;Broederliefde;Agnietenhof;2018-01-08 11:17;0;0;"None";@ZinderTiel ; ;950325652737191936;Het is officieel! Samen met cultuurcentrum @ZinderTiel vormen we sinds 1 januari 2018 één organisatie: Cultuurbedri… https://t.co/CLGvCFmUvZ
Officieel;Broederliefde;brabantsdagblad;2018-01-08 11:12;0;0;"None";; ;950324224224301057;Nieuwe schoolbestuur SAAM in regio Oss, Uden en Veghel officieel van start: 'De kinderen zijn onze kleine bazen' https://t.co/H3fCYK5mfT
Officieel;Broederliefde;loket010;2018-01-08 10:59;0;1;"None";@Paramara1982 ; ;950321114743492608;@Paramara1982 Welkom in Rotterdam Mara! En fijn dat je nu ook officieel ingeschreven staat! Kijk voor veel nuttige… https://t.co/r75dhmHeoV
Officieel;Broederliefde;CodyHochstenB;2018-01-08 10:58;9;15;"None";; ;950320727365963776;Mijn paper met Sako Musterd over gentrificatie en de suburbanisatie van armoede is nu officieel verschenen in… https://t.co/6TsRxG2FgH
Officieel;Broederliefde;SolvariNL;2018-01-08 10:58;0;0;"None";; ;950320697640800257;De winter is inmiddels officieel begonnen. Is jouw huis al winterproof? → https://t.co/RXXBbgFyvx https://t.co/nwuP3xjnDT
Officieel;Broederliefde;IEXProfs;2018-01-08 10:55;0;0;"None";; ;950320096148361217;Het is officieel. De 81-jarige Mark Mobius gaat eind deze maand met pensioen. Een half jaar geleden spraken we nog… https://t.co/EdB0TD4aA5
Officieel;Broederliefde;bdmeierij;2018-01-08 10:53;0;1;"None";; ;950319443099320321;Nieuwe schoolbestuur SAAM in regio Oss, Uden en Veghel officieel van start: 'De kinderen zijn onze kleine bazen'… https://t.co/0pW7vNtRSL
Officieel;Broederliefde;broadcastmag;2018-01-08 10:51;0;0;"None";@koenmaas @koenmaas ; ;950319064508960768;@koenmaas Hi @koenmaas . Om 16:30 maken wij officieel bekend wie het is geworden. Mega spannend :-)! Tweet jij met ons mee? #Omroepman
