song;artist;username;date;retweets;favorites;geo;mentions;hashtags;id;text
Blijf Bij Mij;Ronnie Flex;killa2thug;2018-01-08 20:11;0;0;"None";@YouTube ; ;950459997959340032;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/xgxJQ4JyaZ Ronnie Flex - 4/5 (prod. Trobi) [Titelsong Patser]
Blijf Bij Mij;Ronnie Flex;killa2thug;2018-01-08 18:31;0;0;"None";@YouTube ; ;950434882836197376;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/R7ZZ1pWlLS Ronnie Flex - Blijf Bij Mij ft. Maan (prod. Jack
Blijf Bij Mij;Ronnie Flex;OfficieelStef;2018-01-08 16:06;0;3;"None";@YouTube ; ;950398240549167104;Ik vind een @YouTube-video leuk: https://t.co/tXD9n4TjUi Ronnie Flex - 4/5 (prod. Trobi) PARODY
Blijf Bij Mij;Ronnie Flex;OfficieelStef;2018-01-08 16:06;0;2;"None";@YouTube ; ;950398239882268673;Ronnie Flex - 4/5 (prod. Trobi) PARODY: https://t.co/tXD9n4TjUi via @YouTube
4/5;Ronnie Flex;killa2thug;2018-01-08 20:11;0;0;"None";@YouTube ; ;950459997959340032;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/xgxJQ4JyaZ Ronnie Flex - 4/5 (prod. Trobi) [Titelsong Patser]
4/5;Ronnie Flex;killa2thug;2018-01-08 18:31;0;0;"None";@YouTube ; ;950434882836197376;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/R7ZZ1pWlLS Ronnie Flex - Blijf Bij Mij ft. Maan (prod. Jack
4/5;Ronnie Flex;OfficieelStef;2018-01-08 16:06;0;3;"None";@YouTube ; ;950398240549167104;Ik vind een @YouTube-video leuk: https://t.co/tXD9n4TjUi Ronnie Flex - 4/5 (prod. Trobi) PARODY
4/5;Ronnie Flex;OfficieelStef;2018-01-08 16:06;0;2;"None";@YouTube ; ;950398239882268673;Ronnie Flex - 4/5 (prod. Trobi) PARODY: https://t.co/tXD9n4TjUi via @YouTube
Officieel;Broederliefde;killa2thug;2018-01-08 20:10;0;0;"None";@YouTube ; ;950459839607533568;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/qU0DMiyHwz Broederliefde - Officieel (prod. Soundflow)
Officieel;Broederliefde;Goudse40;2018-01-08 20:02;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Broederliefde ; ;950457820574552065;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Broederliefde - Offic… https://t.co/ZJZykNzVun
Officieel;Broederliefde;Nathalief;2018-01-08 18:41;0;0;"None";; ;950437297694093312;Broederliefde https://t.co/dAhTLfLxjs https://t.co/qkF0OHpL4v
River;Eminem;LautiRivas18;2018-01-08 23:39;0;0;"None";@Eminem ; ;950512317938184192;Lo que son las letras de @Eminem por favor
River;Eminem;hits4uradio;2018-01-08 23:38;0;0;"None";; ;950512138505814017;This song is playing: Eminem ft. Beyoncé - Walk on water Listen: https://t.co/Yu55BIA5JO
River;Eminem;Fresh_HipHopRnB;2018-01-08 23:10;0;0;"None";@Eminem @2chainz @PHRESHER_DGYGZ ; ;950504900617744390;. @Eminem has recruited @2Chainz and @Phresher_DGYGZ for the official remix to "Chloroseptic". Listen --&gt;… https://t.co/97FRDhWD8h
River;Eminem;Dance_FM;2018-01-08 22:18;0;0;"None";; ;950491901752377344;Now Playing: Eminem - Without Me [DJ Viduta Rmx] &gt; DANCE.FM :: The Beat of Amsterdam :: https://t.co/nVNUAXFHnb
River;Eminem;Naron_nl;2018-01-08 20:46;0;0;"None";@YouTube ; ;950468877867089920;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/LEYbblF0P2 Pink - Revenge (ft. Eminem) New Song 2017
River;Eminem;Naron_nl;2018-01-08 20:44;0;0;"None";@YouTube ; ;950468185072926720;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/yn2qn0r7Yx Eminem - Beautiful Pain (Music Video) ft. Sia
River;Eminem;Naron_nl;2018-01-08 20:43;0;0;"None";@YouTube ; ;950468060850282496;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/tomaIvJoCS Eminem - River (Audio) ft. Ed Sheeran
River;Eminem;MultiAssassinii;2018-01-08 20:33;0;1;"None";; ;950465406602444806;Eminem turning into the new Wayne. Great once, but only good every other song now and trash on his actual albums.
River;Eminem;zaria_irl16;2018-01-08 19:27;69;0;"None";@shawnsramos ; ;950448852297043970;RT @shawnsramos: IN REAL LIFE WAS NUMBER TWO ON THE DUTCH TRENDING 5 THEY WERE ABOVE JUSTIN TIMBERLAKE, BEYONCÉ, EMINEM AND MACKLEMORE OH M…
River;Eminem;Fresh_HipHopRnB;2018-01-08 18:08;0;1;"None";@Eminem @2chainz @PHRESHER_DGYGZ ; ;950429108214947847;NEW MUSIC: @Eminem feat. @2Chainz &amp; @PHRESHER_DGYGZ – “Chloraseptic” https://t.co/GXjbczfdkh #FreshHipHopRnB https://t.co/yOSSP5ujbU
River;Eminem;Sarahjames19942;2018-01-08 17:47;69;0;"None";@shawnsramos ; ;950423642730647553;RT @shawnsramos: IN REAL LIFE WAS NUMBER TWO ON THE DUTCH TRENDING 5 THEY WERE ABOVE JUSTIN TIMBERLAKE, BEYONCÉ, EMINEM AND MACKLEMORE OH M…
River;Eminem;RowsiLuLuAmber;2018-01-08 17:45;0;0;"None";; ;950423317613342721;My dad always calls me Blue Eyes that's why i noticed so much Eminem blue lenses in the video hahaahh
River;Eminem;RowsiLuLuAmber;2018-01-08 17:32;0;0;"None";; ;950420080751513603;LMAO the Evil eye reminds me of Eminem song Evil Eyes he sings in the song 3AM but i never knew it was a curse? LMA… https://t.co/KGyoLBWLJ4
River;Eminem;BloodySpeirs;2018-01-08 15:38;0;3;"None";@Eminem ; ;950391371587825665;oh my god Em's verse on the Chloraseptic remix is crazy. @Eminem give us another album mate (Revival IS good anyway)
River;Eminem;NeurobioMarket;2018-01-08 15:26;1;0;"None";@new_neuro ; ;950388210663911424;RT @new_neuro: Even Eminem Benefits From Neuromarketing ;)  Read more   https://t.co/9VIOxFGRYw  #Neuromarketing #Ordereffect https://t.co/…
