song;artist;username;date;retweets;favorites;geo;mentions;hashtags;id;text
Skittle Stacking;Josylvio;Vincent_Schets;2018-01-12 23:30;0;0;"None";@YouTube ; ;951959632905416704;Ik vind een @YouTube-video leuk: https://t.co/Ixp4EtDVqh Josylvio - Skittle Stacking (prod. Esko)
Skittle Stacking;Josylvio;jerrvl;2018-01-12 23:01;0;0;"None";@YouTube ; ;951952332119592960;Ik vind een @YouTube-video leuk: https://t.co/yWHM9U7KJ4 Josylvio - Skittle Stacking (prod. Esko)
Skittle Stacking;Josylvio;jerrvl;2018-01-12 20:25;0;0;"None";; ;951913042153009152;skittle stacking
Skittle Stacking;Josylvio;OMGitsTiesto;2018-01-12 16:36;0;2;"None";@YouTube ; ;951855411212075008;Ik vind een @YouTube-video leuk: https://t.co/6zHrdtTG9o Josylvio - Skittle Stacking (prod. Esko)
Skittle Stacking;Josylvio;Jonnadinho;2018-01-12 15:37;0;0;"None";@YouTube ; ;951840518690009089;Ik vind een @YouTube-video leuk: https://t.co/Q83yOLh6rd Josylvio - Skittle Stacking (prod. Esko)
Skittle Stacking;Josylvio;NLmuziekpromo;2018-01-12 14:09;0;0;"None";; ;951818446429278209;Video: Josylvio – Skittle Stacking (prod. Esko) https://t.co/H1DJCnw9fy
Skittle Stacking;Josylvio;issajaiim;2018-01-12 13:24;0;0;"None";@YouTube ; ;951807217019375617;Ik vind een @YouTube-video leuk: https://t.co/bipvFdetJO Josylvio - Skittle Stacking (prod. Esko)
Blijf Bij Mij;Ronnie Flex;Goudse40;2018-01-12 21:14;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Broederliefde ; ;951925483301752832;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Broederliefde - Offic… https://t.co/C9QALOvika
Blijf Bij Mij;Ronnie Flex;CHENlCEE;2018-01-12 19:08;0;0;"None";; ;951893543395708928;Blijf bij mij ga niet weg
JA!;Bizzey;ShifraJumelet;2018-01-12 23:59;0;0;"None";@Claudiiaa01 ; ;951966998409498624;@Claudiiaa01 Ja!! Haha! Scherp gezien!
JA!;Bizzey;Vincent_Schets;2018-01-12 23:28;0;0;"None";@YouTube ; ;951959159041351680;Ik vind een @YouTube-video leuk: https://t.co/ygO0dAhUGj Bizzey - JA! ft. Kraantje Pappie, Chivv &amp; Yung Felix
JA!;Bizzey;striptekenaar;2018-01-12 23:21;3;0;"None";@KatwijksMuseum ; ;951957328928047104;RT @KatwijksMuseum: WEEKENDTIP | Landbouw in het Katwijks Museum? Ja! Maar als kustmuseum hebben we natuurlijk veel en veel meer te bieden.…
JA!;Bizzey;RodyPost;2018-01-12 23:11;0;0;"None";@fr12nl ; ;951954788492697606;@fr12nl Ja! Heeft de geweldige voorzetten hij!
JA!;Bizzey;maschaa;2018-01-12 23:01;0;1;"None";@kimwagenaar ; ;951952338855628800;@kimwagenaar Ja ja ja!! Allebei vet fascinerend!
JA!;Bizzey;jelmarhekker;2018-01-12 22:48;0;0;"None";@jippiejeekip ; ;951949105139417088;@jippiejeekip Ja! Hoera!
JA!;Bizzey;zatervswati;2018-01-12 22:47;0;0;"None";@caricevhouten @stefanstasse @staatvanstasse ; ;951948718651125761;@caricevhouten @stefanstasse @staatvanstasse Ja!
JA!;Bizzey;LisaDestiinyx;2018-01-12 22:35;0;0;"None";@signofkiwii @HSstreetteam ; ;951945870651650050;@signofkiwii @HSstreetteam Omg Ja!
JA!;Bizzey;DesiDbk;2018-01-12 22:26;0;1;"None";@sylviawitteman ; ;951943567844544513;@sylviawitteman Ja! Blijven hoor....
JA!;Bizzey;oetsie;2018-01-12 22:23;0;1;"None";@Suuzer83 ; ;951942754640257025;@Suuzer83 Ja zeker ja! Prachtig. Cambodja is sowieso een van mn favo landen!
JA!;Bizzey;TjApPiEbAkKeR;2018-01-12 22:14;0;0;"None";@YouTube ; ;951940590836551680;I liked a @YouTube video https://t.co/PTJEtBHFYE Bizzey - JA! ft. Kraantje Pappie, Chivv &amp; Yung Felix
JA!;Bizzey;MauriceGalje;2018-01-12 22:13;1;0;"None";@TabletForms ; ;951940134961807360;RT @TabletForms: Ja! U kunt uw formulieren ook offline gebruiken. Zodra u weer bereik heeft, verstuurd u alle opgeslagen formulieren met ee…
JA!;Bizzey;Winanda1965;2018-01-12 22:08;0;0;"None";@ongerijmd ; ;951939044883271681;@ongerijmd Ja! K*t is dat he. Zou het artikel zo graag willen delen! (In een krant, dat weet ik nog wel).
JA!;Bizzey;Gibbehx;2018-01-12 21:59;0;0;"None";@Plooifiets ; ;951936767611072512;@Plooifiets Ja!1!!
JA!;Bizzey;iris_reinders;2018-01-12 21:34;0;1;"None";@moniquevanloon ; ;951930353110970368;@moniquevanloon Daar heb ik ook met plezier naar gekeken ja!🤤
JA!;Bizzey;Teetjemineetje;2018-01-12 21:26;0;0;"None";@MissPointwood ; ;951928280315199489;@MissPointwood Ja hè? (En ja! Dat is het inderdaad! Joe Cocker!)
JA!;Bizzey;NadiaBouras;2018-01-12 21:22;0;0;"None";@Anja_Vink @Lotfi_Hamid ; ;951927262621978628;@Anja_Vink @Lotfi_Hamid Haha! Ja! Er staat iemand te koken. Met een handsfree microfoon en alles! AH Gelderlandplein ☺️
JA!;Bizzey;maxIaadvermogen;2018-01-12 21:20;0;1;"None";@LiinseyJ ; ;951926846165278724;@LiinseyJ Ja! Maar soms zijn glazen zo ruw geworden dat glansspoelmiddel niet meer werkt. Dan moeten die glazen dus weg.
JA!;Bizzey;LiinseyJ;2018-01-12 21:19;0;1;"None";@maxIaadvermogen ; ;951926606788026370;@maxIaadvermogen Oh ja! Maar daar kan ik ook niet tegen. Glansspoelmiddel vroegtijdig bijvullen lost een hoop op. I… https://t.co/tNRcr8eVKT
JA!;Bizzey;_Maximx;2018-01-12 21:17;0;0;"None";@YouTube ; ;951926066343497728;Ik heb een video toegevoegd aan een @YouTube-afspeellijst: https://t.co/wh0hAOxv2E Bizzey - JA! ft. Kraantje Pappie, Chivv &amp; Yung
JA!;Bizzey;viktorienvh;2018-01-12 21:12;0;0;"None";@HenriDrost @BOGcollectie ; ;951924985236516870;@HenriDrost @BOGcollectie Ja!
JA!;Bizzey;PimPamPat;2018-01-12 21:10;0;0;"None";@LiinseyJ ; ;951924416224612358;@LiinseyJ Ja! Inclusief smurfenhuis. Je kon ze toen kopen of sparen bij het tankstation geloof ik. En m'n vader nam… https://t.co/dBc4TkAwUf
JA!;Bizzey;saraschlijper;2018-01-12 21:02;0;0;"None";@emjee ; ;951922341495431169;@emjee Ja!
