song;artist;username;date;retweets;favorites;geo;mentions;hashtags;id;text
Blijf Bij Mij;Ronnie Flex;aesteetic;2018-01-09 16:50;0;1;"None";; ;950771822118785024;Ik zag gisteren een jongen op school met dat Ronnie flex doe je best op school shirt en ik wilde echt huilen. Wil het ook.
4/5;Ronnie Flex;aesteetic;2018-01-09 16:50;0;1;"None";; ;950771822118785024;Ik zag gisteren een jongen op school met dat Ronnie flex doe je best op school shirt en ik wilde echt huilen. Wil het ook.
Officieel;Broederliefde;Goudse40;2018-01-09 20:26;0;0;"None";@RonnieFlex2907 @MAAN @RonnieFlex2907 @Broederliefde ; ;950826178352500736;Spotify Top 5 🇳🇱  #1 @RonnieFlex2907 feat. @MAAN - Blijf Bij Mij #2 @RonnieFlex2907 - 4/5 #3 @Broederliefde - Offic… https://t.co/jVgAKxAn8c
River;Eminem;Pepa_Peace;2018-01-09 22:42;0;0;"None";@Eminem @edsheeran ; ;950860435942764545;OBSESSED with River by @Eminem ft. @edsheeran 😍😍
River;Eminem;Shaff_070;2018-01-09 18:21;0;0;"None";@CluxCOD @LambrixJonathan ; ;950794714348957697;@CluxCOD @LambrixJonathan True... Skylar grey &amp; Eminem is sowieso gouden duo
River;Eminem;IRLhype;2018-01-09 16:45;68;0;"None";@shawnsramos ; ;950770607037276161;RT @shawnsramos: IN REAL LIFE WAS NUMBER TWO ON THE DUTCH TRENDING 5 THEY WERE ABOVE JUSTIN TIMBERLAKE, BEYONCÉ, EMINEM AND MACKLEMORE OH M…
River;Eminem;hits4uradio;2018-01-09 14:38;0;0;"None";; ;950738563917893632;This song is playing: Eminem ft. Beyoncé - Walk on water Listen: https://t.co/Yu55BIA5JO
River;Eminem;overmuziek;2018-01-09 14:37;0;1;"None";@Rapid_Razor_Bob ; ;950738260917178368;hoop echt dat Eminem niet geboekt wordt voor Lowlands @Rapid_Razor_Bob
River;Eminem;hits4uradio;2018-01-09 11:03;0;1;"None";; ;950684519128018944;This song is playing: Eminem - River (feat. Ed Sheeran) Listen: https://t.co/Yu55BIA5JO
River;Eminem;veeraTJ86;2018-01-09 08:15;0;0;"None";; ;950642187481567237;#AppleMusic The #CHLORASEPTICREMIX is here. Eminem  PHRESHER_DGYGZ   2chainz   https://t.co/ar7y95SjcG
River;Eminem;ExcellentMC;2018-01-09 07:49;0;7;"None";; ;950635518391439361;Eminem op Chloraseptic remix van 2 Chainz is de Em die ik wou horen op zn album, daar maakt hij vrijwel alles en iedereen kapot 💥
River;Eminem;hits4uradio;2018-01-09 02:12;0;0;"None";; ;950550740405227520;This song is playing: Eminem - River (feat. Ed Sheeran) Listen: https://t.co/Yu55BIA5JO
River;Eminem;hits4uradio;2018-01-09 00:14;0;0;"None";; ;950521144645488640;This song is playing: Eminem - Love The Way You Lie Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;hits4uradio;2018-01-09 23:09;0;0;"None";; ;950867204580495360;This song is playing: Camila Cabello ft. Young Thug - Havana Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;hits4uradio;2018-01-09 21:22;0;0;"None";; ;950840191392124928;This song is playing: Camila Cabello - Never Be the Same Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;deepplaylist;2018-01-09 17:06;0;1;"None";; ;950775754522005504;Nu on air: Camila Cabello ft Young Thug - Havana https://t.co/shpWE32VKS
Havana;Camila Cabello;hits4uradio;2018-01-09 09:36;0;0;"None";; ;950662649615998976;This song is playing: Camila Cabello - Crying in the Club Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;hits4uradio;2018-01-09 07:34;0;0;"None";; ;950631775058919424;This song is playing: Camila Cabello - Never Be the Same Listen: https://t.co/Yu55BIA5JO
Havana;Camila Cabello;hits4uradio;2018-01-09 01:21;0;0;"None";; ;950537877557039104;This song is playing: Camila Cabello ft. Young Thug - Havana Listen: https://t.co/Yu55BIA5JO
Wolves;Selena Gomez;paul83421150;2018-01-09 21:42;0;1;"None";@favsgomezpics @selenagomez ; ;950845197935697921;@favsgomezpics @selenagomez Thuesday :) Queen, Cool :) Selena Gomez ...:) I want this 🙇Paul :( be fool,you I,we it a fool :(
Wolves;Selena Gomez;paul83421150;2018-01-09 18:55;0;0;"None";@favsgomezpics @selenagomez ; ;950803319664140288;@favsgomezpics @selenagomez Thuesday :) Selena Gomez :) Paul :)
Wolves;Selena Gomez;scruffy_ian;2018-01-09 17:13;24;0;"None";@CelebStarletXXX ; ;950777645373050880;RT @CelebStarletXXX: #Nude Lesbians Emma Watson and Selena Gomez https://t.co/SbJGm7na6M #celeb #celebrity #fake #porn #EmmaWatson https://…
Wolves;Selena Gomez;hits4uradio;2018-01-09 16:56;0;0;"None";; ;950773300954886146;This song is playing: Selena Gomez - Bad Liar Listen: https://t.co/Yu55BIA5JO
Wolves;Selena Gomez;hits4uradio;2018-01-09 16:46;0;0;"None";; ;950770729083076608;This song is playing: Selena Gomez &amp; Marshmello - Wolves Listen: https://t.co/Yu55BIA5JO
Wolves;Selena Gomez;Dianaclx;2018-01-09 15:03;0;1;"None";; ;950744819411931137;I knew he killed me, and I’m sure that ‘Selena gomez’ Player was also 100% real but bitch was hacking https://t.co/TquvDh2HVE
Wolves;Selena Gomez;Alberto66619842;2018-01-09 13:43;31;0;"None";@CelebStarletXXX ; ;950724795179642881;RT @CelebStarletXXX: Skinny #Celeb Selena Gomez #Nude on the Beach https://t.co/TeOSG0qm1Y #celebrity #fake #babe #SelenaGomez https://t.co…
Wolves;Selena Gomez;BEAUTYFREAKS_;2018-01-09 13:40;0;0;"None";; ;950723941768810496;Wat is er aan de hand met de Instagram van Selena Gomez? https://t.co/SruQhvxf8T
Wolves;Selena Gomez;BEAUTYFREAKS_;2018-01-09 10:40;0;0;"None";; ;950678567809093633;Selena Gomez ontvolgd 300 mensen op Instagram https://t.co/DcBz7zvFDg
Wolves;Selena Gomez;BEAUTYFREAKS_;2018-01-09 10:30;0;0;"None";; ;950676231120449536;Selena Gomez ontvolgd 300 vrienden op Instagram https://t.co/UNnjrYe4em
Wolves;Selena Gomez;Naginza12;2018-01-09 03:55;0;0;"None";; ;950576653574516736;RT PushingHuman: 9 Embarrassing Times When Selena Gomez Faced Wardrobe Malfunction https://t.co/Jc88ljTmsK AMAZlNGPlC
I Miss You;Clean Bandit;deepplaylist;2018-01-09 16:56;0;0;"None";; ;950773251428544514;Nu on air: Clean Bandit ft Jess Glynne - Rather Be (The Magician Remix) https://t.co/shpWE32VKS
I Miss You;Clean Bandit;hits4uradio;2018-01-09 12:40;0;0;"None";; ;950708967344345088;This song is playing: Clean Bandit ft. Julia Michaels - I miss you Listen: https://t.co/Yu55BIA5JO
I Miss You;Clean Bandit;hits4uradio;2018-01-09 12:10;0;0;"None";; ;950701245932691457;This song is playing: Clean Bandit - Symphony (feat. Zara Larsson) Listen: https://t.co/Yu55BIA5JO
rockstar;Post Malone;mrmarcellos;2018-01-09 12:01;0;0;"None";@YouTube ; ;950698961009913858;Ik vind een @YouTube-video leuk: https://t.co/FG7BAfc5DS Top 5 covers of Rockstar - Post Malone ft. 21 Savage
rockstar;Post Malone;JuBianconi;2018-01-09 09:35;0;0;"None";; ;950662389455884289;caralho post malone eu te amo d+
Him & I;G-Eazy;QuintenvderMost;2018-01-09 23:10;0;1;"None";@Rannerz_ ; ;950867428690530305;@Rannerz_ No limit remix from G-Eazy
Perfect;Ed Sheeran;WildHitradio;2018-01-09 23:44;0;0;"None";; ;950875984491724801;Nu op Wild: ed sheeran - perfect . Luister mee: https://t.co/N9oXzJafZZ #np #radio #music https://t.co/T8zDKKsX4A
Perfect;Ed Sheeran;Thaikovski;2018-01-09 20:59;0;0;"None";@YouTube ; ;950834388035567616;Ed Sheeran - Castle On The Hill (NWYR Remix) https://t.co/orHx5oIqJq via @YouTube
Perfect;Ed Sheeran;MariaClash;2018-01-09 20:38;0;3;"None";; ;950829063006031872;Felicidad es pasar la tarde bailando Perfect de Ed Sheeran en el salón de casa con un mico sobre tus pies como si e… https://t.co/4vU0ZcYCAE
Perfect;Ed Sheeran;hits4uradio;2018-01-09 16:20;0;0;"None";; ;950764297633792000;This song is playing: Ed Sheeran - Perfect Listen: https://t.co/Yu55BIA5JO
Perfect;Ed Sheeran;hits4uradio;2018-01-09 15:50;0;0;"None";; ;950756574338932737;This song is playing: Taylor Swift - End Game ft Ed Sheeran Listen: https://t.co/Yu55BIA5JO
Perfect;Ed Sheeran;GinoXXLent_era;2018-01-09 13:29;0;0;"None";; ;950721305535447041;'Tropical House Cruises to Jamaica' Comp ft. Ed Sheeran, Sean Paul, Damian &amp; Stephen Marley: Exclusive First Listen https://t.co/6UG2SUY9r8
Perfect;Ed Sheeran;xmaexlerax;2018-01-09 13:04;0;0;"None";@edsheeran ; ;950714805794385921;Why does Perfect by @edsheeran really sounds like you're really in love while in reality you're not? How can I find an Ed Sheeran? Huhu
