Position,Track Name,Artist,Streams
1,Perfect,Ed Sheeran,12
2,Perfect Duet,Ed Sheeran,12
3,Shape of You,Ed Sheeran,12
4,Stargazing,Kygo,11
5,River,Eminem,11
6,So Far Away,Martin Garrix,11
7,Havana,Camila Cabello,10
8,Too Good At Goodbyes,Sam Smith,10
9,rockstar,Post Malone,6
10,I Miss You,Clean Bandit,6
11,New Rules,Dua Lipa,5
12,What About Us,P!nk,5
13,Blijf Bij Mij,Ronnie Flex,5
14,4/5,Ronnie Flex,5
15,Dusk Till Dawn,ZAYN,5
16,Silence,Marshmello,4
17,Anywhere,Rita Ora,3
18,Wolves,Selena Gomez,3
19,What Lovers Do,Maroon 5,3
20,Op Me Monnie,Frenna,2
21,Him & I,G-Eazy,2
22,Officieel,Broederliefde,2
23,Vervloekt,Frenna,2
24,Patsergedrag,Sevn Alias,2
25,In Amsterdam,Sevn Alias,2
26,Cono,Puri,2
27,Reggaeton Lento,CNCO,1
28,All Falls Down,Alan Walker,1
29,Let You Down,NF,1
