Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,404
2,Perfect,Ed Sheeran,184
3,River,Eminem,49
4,Officieel,Broederliefde,34
5,Silence,Marshmello,28
6,Havana,Camila Cabello,23
7,I Miss You,Clean Bandit,21
8,Anywhere,Rita Ora,20
9,Merry,Nafthaly Ramona,18
10,Wolves,Selena Gomez,11
11,New Rules,Dua Lipa,8
12,Finesse,Bruno Mars,8
13,4/5,Ronnie Flex,7
14,Let Me Go,Hailee Steinfeld,4
15,So Far Away,Martin Garrix,4
16,Blijf Bij Mij,Ronnie Flex,3
17,Hop Hop Hop,Lil' Kleine,2
18,rockstar,Post Malone,1
19,All Falls Down,Alan Walker,1
20,Feel It Still,Portugal. The Man,1
21,Vervloekt,Frenna,1
22,What Lovers Do,Maroon 5,1
23,Dusk Till Dawn,ZAYN,1
24,Cono,Puri,1
