Position,Track Name,Artist,Streams
1,Anywhere,Rita Ora,70
2,Perfect,Ed Sheeran,22
3,Perfect Duet,Ed Sheeran,22
4,So Far Away,Martin Garrix,16
5,New Rules,Dua Lipa,14
6,Wolves,Selena Gomez,11
7,Havana,Camila Cabello,10
8,Too Good At Goodbyes,Sam Smith,10
9,River,Eminem,7
10,Hop Hop Hop,Lil Kleine,6
11,Silence,Marshmello,6
12,I Miss You,Clean Bandit,5
13,Feel It Still,Portugal. The Man,5
14,Stargazing,Kygo,5
15,Blijf Bij Mij,Ronnie Flex,4
16,4/5,Ronnie Flex,4
17,What Lovers Do,Maroon 5,4
18,All Falls Down,Alan Walker,3
19,Officieel,Broederliefde,3
20,Him & I,G-Eazy,2
21,Zoutelande,BLOF,2
22,Let You Down,NF,2
23,Op Me Monnie,Frenna,1
24,rockstar,Post Malone,1
25,Vervloekt,Frenna,1
26,Patsergedrag,Sevn Alias,1
27,Dusk Till Dawn,ZAYN,1
28,In Amsterdam,Sevn Alias,1
