Position,Track Name,Artist,Streams
1,Perfect,Ed Sheeran,22
2,Perfect Duet,Ed Sheeran,22
3,River,Eminem,14
4,So Far Away,Martin Garrix,13
5,Havana,Camila Cabello,11
6,All Falls Down,Alan Walker,9
7,Anywhere,Rita Ora,9
8,Zoutelande,BLOF,8
9,Finesse,Bruno Mars,7
10,Dusk Till Dawn,ZAYN,7
11,New Rules,Dua Lipa,6
12,Homesick,Dua Lipa,6
13,Stargazing,Kygo,6
14,Wolves,Selena Gomez,6
15,Blijf Bij Mij,Ronnie Flex,6
16,4/5,Ronnie Flex,6
17,I Miss You,Clean Bandit,4
18,Silence,Marshmello,4
19,rockstar,Post Malone,3
20,Let Me Go,Hailee Steinfeld,3
21,Officieel,Broederliefde,3
22,Him & I,G-Eazy,2
23,Too Good At Goodbyes,Sam Smith,2
24,Echame La Culpa,Luis Fonsi,2
25,What Lovers Do,Maroon 5,2
26,Patsergedrag,Sevn Alias,2
27,In Amsterdam,Sevn Alias,2
28,Cono,Puri,2
