Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,572
2,Perfect,Ed Sheeran,436
3,Officieel,Broederliefde,67
4,River,Eminem,46
5,Silence,Marshmello,38
6,Anywhere,Rita Ora,29
7,I Miss You,Clean Bandit,14
8,4/5,Ronnie Flex,12
9,Havana,Camila Cabello,10
10,Merry,Nafthaly Ramona,8
11,Wolves,Selena Gomez,8
12,rockstar,Post Malone,6
13,New Rules,Dua Lipa,6
14,Finesse,Bruno Mars,6
15,So Far Away,Martin Garrix,6
16,Stargazing,Kygo,4
17,Dusk Till Dawn,ZAYN,4
18,Blijf Bij Mij,Ronnie Flex,3
19,Too Good At Goodbyes,Sam Smith,2
20,All Falls Down,Alan Walker,1
21,Let Me Go,Hailee Steinfeld,1
22,Vervloekt,Frenna,1
23,Cono,Puri,1
