Position,Track Name,Artist,Streams
1,Perfect,Ed Sheeran,21
2,Perfect Duet,Ed Sheeran,21
3,Shape of You,Ed Sheeran,21
4,River,Eminem,15
5,Wolves,Selena Gomez,13
6,So Far Away,Martin Garrix,11
7,Havana,Camila Cabello,9
8,Silence,Marshmello,9
9,New Rules,Dua Lipa,7
10,What About Us,P!nk,6
11,What Lovers Do,Maroon 5,6
12,Stargazing,Kygo,4
13,Officieel,Broederliefde,4
14,I Miss You,Clean Bandit,4
15,Let You Down,NF,4
16,Too Good At Goodbyes,Sam Smith,4
17,Blijf Bij Mij,Ronnie Flex,4
18,4/5,Ronnie Flex,4
19,rockstar,Post Malone,3
20,Man's Not Hot,Big Shaq,3
21,Him & I,G-Eazy,2
22,Op Me Monnie,Frenna,1
23,Reggaeton Lento,CNCO,1
24,Vervloekt,Frenna,1
25,Anywhere,Rita Ora,1
26,Patsergedrag,Sevn Alias,1
27,16 Million,Frenna,1
28,In Amsterdam,Sevn Alias,1
29,Cono,Puri,1
