Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,663
2,Perfect,Ed Sheeran,213
3,rockstar,Post Malone,144
4,Officieel,Broederliefde,93
5,Silence,Marshmello,65
6,River,Eminem,49
7,Anywhere,Rita Ora,25
8,I Miss You,Clean Bandit,14
9,4/5,Ronnie Flex,8
10,Havana,Camila Cabello,7
11,New Rules,Dua Lipa,6
12,Too Good At Goodbyes,Sam Smith,5
13,Zoutelande,BLOF,5
14,Merry,Nafthaly Ramona,5
15,Finesse,Bruno Mars,4
16,Homesick,Dua Lipa,3
17,Wolves,Selena Gomez,3
18,Blijf Bij Mij,Ronnie Flex,3
19,So Far Away,Martin Garrix,3
20,Cono,Puri,3
21,Let Me Go,Hailee Steinfeld,2
22,Vervloekt,Frenna,2
23,Dusk Till Dawn,ZAYN,2
24,Stargazing,Kygo,1
25,What Lovers Do,Maroon 5,1
