Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,817
2,Perfect,Ed Sheeran,202
3,Officieel,Broederliefde,82
4,Silence,Marshmello,43
5,River,Eminem,38
6,Anywhere,Rita Ora,25
7,So Far Away,Martin Garrix,21
8,Merry,Nafthaly Ramona,20
9,I Miss You,Clean Bandit,9
10,Havana,Camila Cabello,9
11,Stargazing,Kygo,9
12,Wolves,Selena Gomez,9
13,rockstar,Post Malone,6
14,New Rules,Dua Lipa,6
15,4/5,Ronnie Flex,5
16,What Lovers Do,Maroon 5,3
17,Too Good At Goodbyes,Sam Smith,2
18,What About Us,P!nk,2
19,Patsergedrag,Sevn Alias,2
20,Dusk Till Dawn,ZAYN,2
21,Cono,Puri,2
22,Op Me Monnie,Frenna,1
23,Reggaeton Lento,CNCO,1
24,All Falls Down,Alan Walker,1
25,Vervloekt,Frenna,1
26,Blijf Bij Mij,Ronnie Flex,1
