Position,Track Name,Artist,Streams
1,Dusk Till Dawn,ZAYN,194
2,River,Eminem,25
3,Perfect,Ed Sheeran,22
4,Perfect Duet,Ed Sheeran,22
5,Shape of You,Ed Sheeran,22
6,So Far Away,Martin Garrix,20
7,Too Good At Goodbyes,Sam Smith,13
8,Wolves,Selena Gomez,10
9,I Miss You (feat. Julia Michaels),Clean Bandit,7
10,Havana,Camila Cabello,7
11,Blijf Bij Mij,Ronnie Flex,7
12,4/5,Ronnie Flex,7
13,Stargazing,Kygo,6
14,Silence,Marshmello,6
15,rockstar,Post Malone,5
16,All Falls Down,Alan Walker,5
17,What Lovers Do,Maroon 5,5
18,Officieel,Broederliefde,3
19,Anywhere,Rita Ora,3
20,Op Me Monnie,Frenna,2
21,Reggaeton Lento,CNCO,2
22,New Rules,Dua Lipa,2
23,Let You Down,NF,2
24,Vervloekt,Frenna,2
25,Patsergedrag,Sevn Alias,2
26,In Amsterdam,Sevn Alias,2
27,Him & I,G-Eazy,1
28,Feel It Still,Portugal. The Man,1
