Position,Track Name,Artist,Streams
1,Perfect,Ed Sheeran,17
2,Perfect Duet,Ed Sheeran,17
3,Wolves,Selena Gomez,11
4,River,Eminem,10
5,So Far Away,Martin Garrix,10
6,Finesse,Bruno Mars,9
7,Too Good At Goodbyes,Sam Smith,6
8,New Rules,Dua Lipa,6
9,Havana,Camila Cabello,6
10,Anywhere,Rita Ora,5
11,Stargazing,Kygo,5
12,Silence,Marshmello,5
13,I Miss You,Clean Bandit,3
14,Dusk Till Dawn,ZAYN,3
15,rockstar,Post Malone,2
16,What Lovers Do,Maroon 5,2
17,Him & I,G-Eazy,1
18,Let Me Go,Hailee Steinfeld,1
19,Officieel,Broederliefde,1
20,Feel It Still,Portugal. The Man,1
21,Blijf Bij Mij,Ronnie Flex,1
22,4/5,Ronnie Flex,1
