Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,493
2,Perfect,Ed Sheeran,263
3,Officieel,Broederliefde,53
4,River,Eminem,44
5,Silence,Marshmello,33
6,4/5,Ronnie Flex,25
7,Merry,Nafthaly Ramona,20
8,Anywhere,Rita Ora,19
9,I Miss You,Clean Bandit,14
10,Havana,Camila Cabello,11
11,Finesse,Bruno Mars,8
12,Wolves,Selena Gomez,5
13,New Rules,Dua Lipa,4
14,So Far Away,Martin Garrix,4
15,rockstar,Post Malone,3
16,Hop Hop Hop,Lil Kleine,3
17,Too Good At Goodbyes,Sam Smith,2
18,Let Me Go,Hailee Steinfeld,2
19,Blijf Bij Mij,Ronnie Flex,2
20,Zoutelande,BLOF,1
21,Feel It Still,Portugal. The Man,1
22,Vervloekt,Frenna,1
23,Stargazing,Kygo,1
24,What Lovers Do,Maroon 5,1
25,Patsergedrag,Sevn Alias,1
