Position,Track Name,Artist,Streams
1,Perfect,Ed Sheeran,18
2,Perfect Duet,Ed Sheeran,18
3,New Rules,Dua Lipa,15
4,Homesick,Dua Lipa,15
5,JA!,Bizzey,15
6,Havana,Camila Cabello,14
7,Never Be the Same,Camila Cabello,14
8,Skittle Stacking,Josylvio,9
9,Finesse,Bruno Mars,9
10,Wolves,Selena Gomez,9
11,Anywhere,Rita Ora,8
12,Zoutelande,BLOF,6
13,Stargazing,Kygo,6
14,River,Eminem,6
15,Too Good At Goodbyes,Sam Smith,5
16,So Far Away,Martin Garrix,5
17,Officieel,Broederliefde,4
18,Silence,Marshmello,4
19,I Miss You,Clean Bandit,3
20,Him & I,G-Eazy,2
21,Blijf Bij Mij,Ronnie Flex,2
22,4/5,Ronnie Flex,2
23,rockstar,Post Malone,1
24,All Falls Down,Alan Walker,1
25,Vervloekt,Frenna,1
26,What Lovers Do,Maroon 5,1
27,Nikes,Jacin Trill,1
28,Cono,Puri,1
