Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,411
2,Perfect,Ed Sheeran,323
3,Officieel,Broederliefde,71
4,River,Eminem,49
5,Silence,Marshmello,26
6,Merry,Nafthaly Ramona,20
7,Anywhere,Rita Ora,12
8,So Far Away,Martin Garrix,10
9,I Miss You,Clean Bandit,8
10,Shape of You,Ed Sheeran,7
11,Havana,Camila Cabello,6
12,rockstar,Post Malone,4
13,Wolves,Selena Gomez,4
14,New Rules,Dua Lipa,3
15,Stargazing,Kygo,3
16,4/5,Ronnie Flex,3
17,What About Us,P!nk,2
18,Blijf Bij Mij,Ronnie Flex,2
19,What Lovers Do,Maroon 5,2
20,Reggaeton Lento,CNCO,1
21,Man's Not Hot,Big Shaq,1
22,Too Good At Goodbyes,Sam Smith,1
