Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,486
2,Perfect,Ed Sheeran,239
3,Officieel,Broederliefde,129
4,River,Eminem,70
5,So Far Away,Martin Garrix,30
6,Silence,Marshmello,27
7,Anywhere,Rita Ora,18
8,I Miss You,Clean Bandit,14
9,Op Me Monnie,Frenna,13
10,New Rules,Dua Lipa,10
11,4/5,Ronnie Flex,9
12,Havana,Camila Cabello,9
13,Wolves,Selena Gomez,9
14,Merry,Nafthaly Ramona,8
15,Feel It Still,Portugal. The Man,6
16,What Lovers Do,Maroon 5,4
17,Too Good At Goodbyes,Sam Smith,3
18,All Falls Down,Alan Walker,2
19,Zoutelande,BLOF,1
20,Hop Hop Hop,Lil Kleine,1
21,Stargazing,Kygo,1
22,Blijf Bij Mij,Ronnie Flex,1
23,Patsergedrag,Sevn Alias,1
