Position,Track Name,Artist,Streams
1,River,Eminem,17
2,Perfect,Ed Sheeran,16
3,Perfect Duet,Ed Sheeran,16
4,Finesse,Bruno Mars,11
5,So Far Away,Martin Garrix,11
6,Too Good At Goodbyes,Sam Smith,8
7,Blijf Bij Mij,Ronnie Flex,7
8,4/5,Ronnie Flex,7
9,Anywhere,Rita Ora,6
10,Wolves,Selena Gomez,6
11,Dusk Till Dawn,ZAYN,6
12,I Miss You,Clean Bandit,5
13,New Rules,Dua Lipa,5
14,Homesick,Dua Lipa,5
15,Stargazing,Kygo,5
16,Hop Hop Hop,Lil Kleine,4
17,What Lovers Do,Maroon 5,4
18,rockstar,Post Malone,3
19,Let Me Go,Hailee Steinfeld,3
20,Havana,Camila Cabello,3
21,All Falls Down,Alan Walker,2
22,Zoutelande,BLOF,2
23,Officieel,Broederliefde,2
24,Silence,Marshmello,2
25,Patsergedrag,Sevn Alias,2
26,In Amsterdam,Sevn Alias,2
27,Him & I,G-Eazy,1
28,Vervloekt,Frenna,1
29,Cono,Puri,1
