Position,Track Name,Artist,Streams
1,Perfect,Ed Sheeran,14
2,Perfect Duet,Ed Sheeran,14
3,Shape of You,Ed Sheeran,14
4,River,Eminem,12
5,Dusk Till Dawn,ZAYN,10
6,Hop Hop Hop,Lil Kleine,8
7,Too Good At Goodbyes,Sam Smith,8
8,Zoutelande,BLOF,7
9,So Far Away,Martin Garrix,7
10,Blijf Bij Mij,Ronnie Flex,6
11,4/5,Ronnie Flex,6
12,New Rules,Dua Lipa,5
13,Officieel,Broederliefde,5
14,Stargazing,Kygo,5
15,I Miss You,Clean Bandit,4
16,Wolves,Selena Gomez,4
17,Let Me Go,Hailee Steinfeld,3
18,Feel It Still,Portugal. The Man,3
19,Havana,Camila Cabello,3
20,rockstar,Post Malone,2
21,All Falls Down,Alan Walker,2
22,Patsergedrag,Sevn Alias,2
23,In Amsterdam,Sevn Alias,2
24,Him & I,G-Eazy,1
