Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,421
2,Perfect,Ed Sheeran,281
3,JA!,Bizzey,97
4,Silence,Marshmello,73
5,Officieel,Broederliefde,58
6,River,Eminem,22
7,I Miss You,Clean Bandit,15
8,Havana,Camila Cabello,13
9,Anywhere,Rita Ora,11
10,Wolves,Selena Gomez,11
11,Never Be the Same,Camila Cabello,11
12,rockstar,Post Malone,8
13,New Rules,Dua Lipa,7
14,4/5,Ronnie Flex,7
15,Finesse,Bruno Mars,6
16,So Far Away,Martin Garrix,6
17,Zoutelande,BLOF,5
18,Too Good At Goodbyes,Sam Smith,4
19,Skittle Stacking,Josylvio,3
20,All Falls Down,Alan Walker,2
21,Homesick,Dua Lipa,2
22,Stargazing,Kygo,2
23,Vervloekt,Frenna,1
24,Blijf Bij Mij,Ronnie Flex,1
25,Nikes,Jacin Trill,1
26,Cono,Puri,1
