Position,Track Name,Artist,Streams
1,River,Eminem,90
2,Perfect,Ed Sheeran,19
3,Perfect Duet,Ed Sheeran,19
4,New Rules,Dua Lipa,10
5,Finesse,Bruno Mars,9
6,Stargazing,Kygo,8
7,Too Good At Goodbyes,Sam Smith,7
8,Havana,Camila Cabello,6
9,Anywhere,Rita Ora,6
10,Dusk Till Dawn,ZAYN,6
11,Wolves,Selena Gomez,5
12,So Far Away,Martin Garrix,5
13,Silence,Marshmello,4
14,I Miss You,Clean Bandit,3
15,Let Me Go,Hailee Steinfeld,3
16,Officieel,Broederliefde,3
17,All Falls Down,Alan Walker,2
18,Feel It Still,Portugal. The Man,2
19,Blijf Bij Mij,Ronnie Flex,2
20,4/5,Ronnie Flex,2
21,What Lovers Do,Maroon 5,2
22,Him & I,G-Eazy,1
23,rockstar,Post Malone,1
24,Zoutelande,BLOF,1
25,Cono,Puri,1
