Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,811
2,Perfect,Ed Sheeran,186
3,Officieel,Broederliefde,79
4,River,Eminem,71
5,Silence,Marshmello,48
6,4/5,Ronnie Flex,41
7,Merry,Nafthaly Ramona,30
8,Anywhere,Rita Ora,19
9,So Far Away,Martin Garrix,13
10,Havana,Camila Cabello,12
11,Patsergedrag,Sevn Alias,8
12,Wolves,Selena Gomez,6
13,rockstar,Post Malone,5
14,Shape of You,Ed Sheeran,5
15,All Falls Down,Alan Walker,3
16,What Lovers Do,Maroon 5,3
17,Stargazing,Kygo,2
18,Blijf Bij Mij,Ronnie Flex,2
19,Dusk Till Dawn,ZAYN,2
20,Op Me Monnie,Frenna,1
21,Reggaeton Lento,CNCO,1
22,New Rules,Dua Lipa,1
23,Too Good At Goodbyes,Sam Smith,1
