Position,Track Name,Artist,Streams
1,Dusk Till Dawn,ZAYN,211
2,Perfect,Ed Sheeran,25
3,Perfect Duet,Ed Sheeran,25
4,Shape of You,Ed Sheeran,25
5,Wolves,Selena Gomez,14
6,River,Eminem,14
7,Havana,Camila Cabello,11
8,Too Good At Goodbyes,Sam Smith,9
9,Stargazing,Kygo,8
10,Blijf Bij Mij,Ronnie Flex,8
11,4/5,Ronnie Flex,8
12,New Rules,Dua Lipa,7
13,Anywhere,Rita Ora,7
14,So Far Away,Martin Garrix,7
15,rockstar,Post Malone,6
16,All Falls Down,Alan Walker,4
17,Let You Down,NF,4
18,I Miss You,Clean Bandit,3
19,Officieel,Broederliefde,3
20,Op Me Monnie,Frenna,2
21,Him & I,G-Eazy,2
22,Let Me Go,Hailee Steinfeld,2
23,Vervloekt,Frenna,2
24,Silence,Marshmello,2
25,What Lovers Do,Maroon 5,2
26,Feel It Still,Portugal. The Man,1
27,Patsergedrag,Sevn Alias,1
28,In Amsterdam,Sevn Alias,1
