Position,Track Name,Artist,Streams
1,River,Eminem,22
2,Perfect,Ed Sheeran,20
3,Perfect Duet,Ed Sheeran,20
4,Wolves,Selena Gomez,13
5,New Rules,Dua Lipa,11
6,Anywhere,Rita Ora,11
7,Finesse,Bruno Mars,9
8,Silence,Marshmello,9
9,Stargazing,Kygo,8
10,Dusk Till Dawn,ZAYN,8
11,Let Me Go,Hailee Steinfeld,6
12,So Far Away,Martin Garrix,6
13,Havana,Camila Cabello,5
14,rockstar,Post Malone,4
15,Blijf Bij Mij,Ronnie Flex,4
16,4/5,Ronnie Flex,4
17,What Lovers Do (feat. SZA),Maroon 5,4
18,Officieel,Broederliefde,3
19,Op Me Monnie,Frenna,2
20,I Miss You,Clean Bandit,2
21,Too Good At Goodbyes,Sam Smith,2
22,All Falls Down,Alan Walker,2
23,Zoutelande,BLOF,2
24,Hop Hop Hop,Lil Kleine,2
25,Vervloekt,Frenna,2
26,Patsergedrag,Sevn Alias,1
27,In Amsterdam,Sevn Alias,1
