Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,641
2,Perfect,Ed Sheeran,180
3,Officieel,Broederliefde,152
4,JA!,Bizzey,99
5,New Rules,Dua Lipa,24
6,River,Eminem,21
7,Anywhere,Rita Ora,20
8,Silence,Marshmello,20
9,I Miss You,Clean Bandit,18
10,4/5,Ronnie Flex,13
11,Havana,Camila Cabello,12
12,Merry,Nafthaly Ramona,11
13,Nikes,Jacin Trill,11
14,Finesse,Bruno Mars,11
15,Wolves,Selena Gomez,11
16,rockstar,Post Malone,8
17,Skittle Stacking,Josylvio,7
18,So Far Away,Martin Garrix,7
19,What Lovers Do,Maroon 5,7
20,Zoutelande,BLOF,4
21,Too Good At Goodbyes,Sam Smith,3
22,Vervloekt,Frenna,2
23,Blijf Bij Mij,Ronnie Flex,2
24,Cono,Puri,2
25,Perfect Duet,Ed Sheeran,1
26,Stargazing,Kygo,1
