Position,Track Name,Artist,Streams
1,JA!,Bizzey,21
2,New Rules,Dua Lipa,13
3,Homesick,Dua Lipa,13
4,Perfect,Ed Sheeran,12
5,Skittle Stacking,Josylvio,11
6,Wolves,Selena Gomez,11
7,Havana,Camila Cabello,9
8,Finesse,Bruno Mars,9
9,Anywhere,Rita Ora,9
10,River,Eminem,9
11,Never Be the Same,Camila Cabello,9
12,Nikes,Jacin Trill,8
13,So Far Away,Martin Garrix,7
14,rockstar,Post Malone,5
15,I Miss You,Clean Bandit,4
16,Too Good At Goodbyes,Sam Smith,4
17,All Falls Down,Alan Walker,4
18,Echame La Culpa,Luis Fonsi,3
19,Stargazing,Kygo,3
20,Blijf Bij Mij,Ronnie Flex,3
21,4/5,Ronnie Flex,3
22,Patsergedrag,Sevn Alias,3
23,In Amsterdam,Sevn Alias,3
24,Zoutelande,BLOF,2
25,Officieel,Broederliefde,2
26,What Lovers Do,Maroon 5,2
27,Vervloekt,Frenna,1
28,Cono,Puri,1
