Position,Track Name,Artist,Streams
1,In Amsterdam,Sevn Alias,704
2,Perfect,Ed Sheeran,205
3,Officieel,Broederliefde,142
4,Wolves,Selena Gomez,36
5,Silence,Marshmello,36
6,River,Eminem,33
7,Havana,Camila Cabello,27
8,rockstar,Post Malone,21
9,Anywhere,Rita Ora,19
10,I Miss You,Clean Bandit,12
11,Merry,Nafthaly Ramona,8
12,New Rules,Dua Lipa,6
13,Homesick,Dua Lipa,5
14,So Far Away,Martin Garrix,5
15,4/5,Ronnie Flex,5
16,Let Me Go,Hailee Steinfeld,4
17,Finesse,Bruno Mars,4
18,Too Good At Goodbyes,Sam Smith,3
19,Stargazing,Kygo,3
20,Blijf Bij Mij,Ronnie Flex,3
21,Dusk Till Dawn,ZAYN,3
22,All Falls Down,Alan Walker,2
23,Zoutelande,BLOF,2
24,What Lovers Do,Maroon 5,2
25,Echame La Culpa,Luis Fonsi,1
26,Vervloekt,Frenna,1
