Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",194957,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,4/5,"Ronnie Flex",169975,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,Officieel,Broederliefde,137360,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,"River",Eminem,137164,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Havana,"Camila Cabello",123248,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,Perfect,"Ed Sheeran",117792,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
7,Wolves,"Selena Gomez",111846,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,rockstar,"Post Malone",106255,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
9,"I Miss You","Clean Bandit",103759,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
10,Cono,Puri,101052,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
11,Vervloekt,Frenna,93975,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
12,"New Rules","Dua Lipa",92618,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
13,Stargazing,Kygo,87150,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
14,"In Amsterdam","Sevn Alias",86933,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
15,"Perfect Duet","Ed Sheeran",85217,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
16,"Too Good At Goodbyes","Sam Smith",84121,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
17,"Him & I",G-Eazy,83064,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
18,"What Lovers Do","Maroon 5",78860,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
19,"So Far Away","Martin Garrix",78585,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
20,Zoutelande,BLOF,78314,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
21,"All Falls Down","Alan Walker",76506,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
22,Merry,"Nafthaly Ramona",75370,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
23,Patsergedrag,"Sevn Alias",74142,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
24,"Dusk Till Dawn",ZAYN,73402,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
25,Silence,Marshmello,73048,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
26,"Finesse","Bruno Mars",71398,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
27,"Let Me Go","Hailee Steinfeld",69059,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
28,"Feel It Still","Portugal. The Man",67739,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
29,"Hop Hop Hop","Lil' Kleine",66665,https://open.spotify.com/track/2WM1QOmbn4TP0ZFcNOsj2x
30,Anywhere,"Rita Ora",66176,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
