Position,"Track Name",Artist,Streams,URL
1,JA!,Bizzey,266740,https://open.spotify.com/track/5es8kaTPXX5ikcBchdHbtV
2,"Blijf Bij Mij","Ronnie Flex",239152,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
3,4/5,"Ronnie Flex",214433,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
4,"Skittle Stacking",Josylvio,211486,https://open.spotify.com/track/59w0fAZRp7Oa3qcWMPvfNt
5,Officieel,Broederliefde,168071,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
6,Havana,"Camila Cabello",167323,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
7,"River",Eminem,148195,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
8,Cono,Puri,144441,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
9,"Finesse","Bruno Mars",132639,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
10,rockstar,"Post Malone",123530,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
11,Wolves,"Selena Gomez",121993,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
12,"I Miss You","Clean Bandit",119558,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
13,Vervloekt,Frenna,117066,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
14,Zoutelande,BLOF,112084,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
15,"Him & I",G-Eazy,108237,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
16,Perfect,"Ed Sheeran",107186,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
17,"In Amsterdam","Sevn Alias",106182,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
18,Stargazing,Kygo,101549,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
19,"So Far Away","Martin Garrix",100922,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
20,"All Falls Down","Alan Walker",97232,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
21,"New Rules","Dua Lipa",96138,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
22,Nikes,"Jacin Trill",93472,https://open.spotify.com/track/2q7YXqDuLVbmNqfDYbvBF0
23,Patsergedrag,"Sevn Alias",91285,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
24,"Never Be the Same","Camila Cabello",89338,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
25,Anywhere,"Rita Ora",88375,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
26,"Too Good At Goodbyes","Sam Smith",87310,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
27,Merry,"Nafthaly Ramona",86862,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
28,Homesick,"Dua Lipa",86630,https://open.spotify.com/track/5E5MqaS6eOsbaJibl3YeMZ
29,"Echame La Culpa","Luis Fonsi",85551,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
30,"What Lovers Do","Maroon 5",84171,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
