Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",245764,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,4/5,"Ronnie Flex",233648,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,Officieel,Broederliefde,172580,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,"River",Eminem,171906,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Havana,"Camila Cabello",137392,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,Cono,Puri,131148,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
7,Wolves,"Selena Gomez",127506,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,rockstar,"Post Malone",126291,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
9,"I Miss You","Clean Bandit",121549,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
10,Vervloekt,Frenna,117050,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
11,Perfect,"Ed Sheeran",110240,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
12,"In Amsterdam","Sevn Alias",107597,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
13,"Him & I",G-Eazy,103755,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
14,"New Rules","Dua Lipa",102481,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
15,Stargazing,Kygo,100976,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
16,"Finesse","Bruno Mars",97846,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
17,"Perfect Duet","Ed Sheeran",97090,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
18,Merry,"Nafthaly Ramona",95966,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
19,"So Far Away","Martin Garrix",95365,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
20,"All Falls Down","Alan Walker",95191,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
21,"Too Good At Goodbyes","Sam Smith",93749,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
22,Zoutelande,BLOF,90587,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
23,Patsergedrag,"Sevn Alias",88418,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
24,"What Lovers Do (feat. SZA)","Maroon 5",87134,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
25,Silence,Marshmello,84980,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
26,Anywhere,"Rita Ora",84243,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
27,"Dusk Till Dawn",ZAYN,82686,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
28,"Let Me Go","Hailee Steinfeld",81533,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
29,"Hop Hop Hop","Lil Kleine",81473,https://open.spotify.com/track/2WM1QOmbn4TP0ZFcNOsj2x
30,"Op Me Monnie",Frenna,79123,https://open.spotify.com/track/5kvzEqShooIhg1D3KMBa7U
