Position,"Track Name",Artist,Streams,URL
1,JA!,Bizzey,243336,https://open.spotify.com/track/5es8kaTPXX5ikcBchdHbtV
2,"Blijf Bij Mij","Ronnie Flex",200550,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
3,4/5,"Ronnie Flex",177934,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
4,"Skittle Stacking",Josylvio,173980,https://open.spotify.com/track/59w0fAZRp7Oa3qcWMPvfNt
5,Havana,"Camila Cabello",145134,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
6,Officieel,Broederliefde,137127,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
7,"River",Eminem,130111,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
8,Cono,Puri,115559,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
9,"Finesse","Bruno Mars",114089,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
10,Perfect,"Ed Sheeran",111119,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
11,Wolves,"Selena Gomez",108608,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
12,rockstar,"Post Malone",106622,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
13,"I Miss You","Clean Bandit",105141,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
14,Vervloekt,Frenna,99382,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
15,Zoutelande,BLOF,97581,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
16,"Him & I",G-Eazy,95570,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
17,"So Far Away","Martin Garrix",90031,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
18,"In Amsterdam","Sevn Alias",89075,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
19,Stargazing,Kygo,86718,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
20,"All Falls Down","Alan Walker",86155,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
21,"Never Be the Same","Camila Cabello",82685,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
22,"New Rules","Dua Lipa",81966,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
23,"Too Good At Goodbyes","Sam Smith",80694,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
24,Homesick,"Dua Lipa",80292,https://open.spotify.com/track/5E5MqaS6eOsbaJibl3YeMZ
25,Nikes,"Jacin Trill",78469,https://open.spotify.com/track/2q7YXqDuLVbmNqfDYbvBF0
26,Anywhere,"Rita Ora",76332,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
27,"What Lovers Do","Maroon 5",74475,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
28,Patsergedrag,"Sevn Alias",74236,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
29,Silence,Marshmello,73682,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
30,"Perfect Duet","Ed Sheeran",73613,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
