Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",251787,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,4/5,"Ronnie Flex",236161,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,Officieel,Broederliefde,177897,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,"River",Eminem,177418,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Havana,"Camila Cabello",141914,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,Cono,Puri,139593,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
7,Wolves,"Selena Gomez",132493,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,"I Miss You","Clean Bandit",130638,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
9,rockstar,"Post Malone",128529,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
10,Vervloekt,Frenna,121625,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
11,"In Amsterdam","Sevn Alias",113867,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
12,"Him & I",G-Eazy,111891,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
13,Perfect,"Ed Sheeran",107761,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
14,Stargazing,Kygo,104745,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
15,"New Rules","Dua Lipa",104225,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
16,Merry,"Nafthaly Ramona",103521,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
17,"Finesse","Bruno Mars",103286,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
18,"All Falls Down","Alan Walker",102643,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
19,"Perfect Duet","Ed Sheeran",100306,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
20,"So Far Away","Martin Garrix",99023,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
21,"Too Good At Goodbyes","Sam Smith",96769,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
22,Zoutelande,BLOF,95739,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
23,Patsergedrag,"Sevn Alias",89865,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
24,"Hop Hop Hop","Lil Kleine",88062,https://open.spotify.com/track/2WM1QOmbn4TP0ZFcNOsj2x
25,"What Lovers Do","Maroon 5",87763,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
26,"Dusk Till Dawn",ZAYN,87363,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
27,Silence,Marshmello,86166,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
28,"Let Me Go","Hailee Steinfeld",85216,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
29,Anywhere,"Rita Ora",83713,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
30,"Feel It Still","Portugal. The Man",81767,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
