Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",231350,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,4/5,"Ronnie Flex",203537,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,Officieel,Broederliefde,166502,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,"River",Eminem,154218,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Havana,"Camila Cabello",139240,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,Wolves,"Selena Gomez",121785,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
7,Cono,Puri,121247,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
8,rockstar,"Post Malone",121004,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
9,"I Miss You","Clean Bandit",111962,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
10,Vervloekt,Frenna,111243,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
11,"New Rules","Dua Lipa",109547,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
12,Perfect,"Ed Sheeran",106119,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
13,"In Amsterdam","Sevn Alias",100640,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
14,"Perfect Duet","Ed Sheeran",97167,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
15,Stargazing,Kygo,95711,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
16,"Him & I",G-Eazy,92591,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
17,Patsergedrag,"Sevn Alias",91289,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
18,Merry,"Nafthaly Ramona",90502,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
19,"Too Good At Goodbyes","Sam Smith",90238,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
20,"What Lovers Do","Maroon 5",89544,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
21,Zoutelande,BLOF,89221,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
22,"All Falls Down","Alan Walker",85771,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
23,"So Far Away","Martin Garrix",85576,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
24,"Hop Hop Hop","Lil Kleine",82317,https://open.spotify.com/track/2WM1QOmbn4TP0ZFcNOsj2x
25,Silence,Marshmello,80195,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
26,"Dusk Till Dawn",ZAYN,78919,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
27,"Feel It Still","Portugal. The Man",78463,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
28,"Shape of You","Ed Sheeran",77421,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
29,"Op Me Monnie",Frenna,77072,https://open.spotify.com/track/5kvzEqShooIhg1D3KMBa7U
30,"Let Me Go","Hailee Steinfeld",76303,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
