Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",235338,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,4/5,"Ronnie Flex",210003,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,Officieel,Broederliefde,166725,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,"River",Eminem,157389,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Havana,"Camila Cabello",136237,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,rockstar,"Post Malone",122692,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
7,Wolves,"Selena Gomez",122117,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,Cono,Puri,112839,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
9,Vervloekt,Frenna,112063,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
10,"I Miss You","Clean Bandit",109669,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
11,"New Rules","Dua Lipa",108371,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
12,Perfect,"Ed Sheeran",104992,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
13,"In Amsterdam","Sevn Alias",101583,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
14,"Perfect Duet","Ed Sheeran",100470,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
15,Stargazing,Kygo,97540,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
16,Patsergedrag,"Sevn Alias",92654,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
17,"Him & I",G-Eazy,92450,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
18,"What Lovers Do","Maroon 5",91822,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
19,"Too Good At Goodbyes","Sam Smith",91277,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
20,"So Far Away","Martin Garrix",88622,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
21,Merry,"Nafthaly Ramona",87687,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
22,Silence,Marshmello,83861,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
23,"Op Me Monnie",Frenna,81513,https://open.spotify.com/track/5kvzEqShooIhg1D3KMBa7U
24,"All Falls Down","Alan Walker",81150,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
25,"Hop Hop Hop","Lil Kleine",80915,https://open.spotify.com/track/2WM1QOmbn4TP0ZFcNOsj2x
26,Anywhere,"Rita Ora",80050,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
27,Zoutelande,BLOF,78585,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
28,"Dusk Till Dawn",ZAYN,78471,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
29,"Let You Down",NF,76930,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
30,"Feel It Still","Portugal. The Man",76804,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
