Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",251735,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,4/5,"Ronnie Flex",233237,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,Officieel,Broederliefde,175022,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,"River",Eminem,172752,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Cono,Puri,146472,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
6,Havana,"Camila Cabello",143663,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
7,rockstar,"Post Malone",133172,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
8,Wolves,"Selena Gomez",131498,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
9,"I Miss You","Clean Bandit",128524,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
10,"Finesse","Bruno Mars",125609,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
11,Vervloekt,Frenna,124752,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
12,"In Amsterdam","Sevn Alias",117282,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
13,"Him & I",G-Eazy,113834,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
14,Perfect,"Ed Sheeran",105949,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
15,Zoutelande,BLOF,104379,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
16,"New Rules","Dua Lipa",104146,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
17,Stargazing,Kygo,103221,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
18,"All Falls Down","Alan Walker",102487,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
19,"So Far Away","Martin Garrix",100658,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
20,Merry,"Nafthaly Ramona",97224,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
21,"Too Good At Goodbyes","Sam Smith",96079,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
22,Patsergedrag,"Sevn Alias",92005,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
23,"Perfect Duet","Ed Sheeran",91662,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
24,Silence,Marshmello,88335,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
25,"What Lovers Do","Maroon 5",88266,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
26,Anywhere,"Rita Ora",87385,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
27,"Let Me Go","Hailee Steinfeld",86491,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
28,Homesick,"Dua Lipa",85110,https://open.spotify.com/track/5E5MqaS6eOsbaJibl3YeMZ
29,"Echame La Culpa","Luis Fonsi",83284,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
30,"Dusk Till Dawn",ZAYN,83248,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
