Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",249043,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,4/5,"Ronnie Flex",230971,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,"River",Eminem,176486,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
4,Officieel,Broederliefde,176057,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
5,Havana,"Camila Cabello",143250,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,Cono,Puri,140181,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
7,Wolves,"Selena Gomez",134612,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
8,rockstar,"Post Malone",133423,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
9,"I Miss You","Clean Bandit",128253,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
10,Vervloekt,Frenna,121366,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
11,"In Amsterdam","Sevn Alias",114862,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
12,"Him & I",G-Eazy,111853,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
13,"Finesse","Bruno Mars",110474,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
14,Perfect,"Ed Sheeran",107924,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
15,Stargazing,Kygo,105357,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
16,"New Rules","Dua Lipa",105188,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
17,Merry,"Nafthaly Ramona",102378,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
18,"All Falls Down","Alan Walker",102200,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
19,Zoutelande,BLOF,101266,https://open.spotify.com/track/1rQfM1l1gcZF1tKJtLYRnm
20,"Too Good At Goodbyes","Sam Smith",100536,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
21,"So Far Away","Martin Garrix",97199,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
22,"Perfect Duet","Ed Sheeran",96571,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
23,Patsergedrag,"Sevn Alias",91377,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
24,"What Lovers Do","Maroon 5",89208,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
25,"Hop Hop Hop","Lil Kleine",89053,https://open.spotify.com/track/2WM1QOmbn4TP0ZFcNOsj2x
26,"Let Me Go","Hailee Steinfeld",86351,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
27,Silence,Marshmello,86198,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
28,"Dusk Till Dawn",ZAYN,85374,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
29,Anywhere,"Rita Ora",84263,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
30,Homesick,"Dua Lipa",83220,https://open.spotify.com/track/5E5MqaS6eOsbaJibl3YeMZ
