Position,"Track Name",Artist,Streams,URL
1,"Blijf Bij Mij","Ronnie Flex",224977,https://open.spotify.com/track/7EyvmcYx7WzeBi2cY9RmIi
2,4/5,"Ronnie Flex",200850,https://open.spotify.com/track/7cAxokBbnclXF6skY38Nd9
3,Officieel,Broederliefde,159354,https://open.spotify.com/track/3e0gMtgOOLGPFLzPWR7xzb
4,"River",Eminem,152629,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
5,Havana,"Camila Cabello",132724,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
6,Wolves,"Selena Gomez",119368,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
7,rockstar,"Post Malone",118304,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
8,Vervloekt,Frenna,106616,https://open.spotify.com/track/5VjqFNoLNl0xvG50diCuwx
9,"I Miss You","Clean Bandit",105481,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
10,"New Rules","Dua Lipa",105017,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
11,"Perfect Duet","Ed Sheeran",103697,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
12,Cono,Puri,100369,https://open.spotify.com/track/7tXCV0UwFwBxqum6i25you
13,"In Amsterdam","Sevn Alias",98610,https://open.spotify.com/track/4QXLXEcGPl18ghSz4cSEzP
14,Perfect,"Ed Sheeran",97293,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
15,Stargazing,Kygo,95494,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
16,"What Lovers Do","Maroon 5",94544,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
17,"Him & I",G-Eazy,91740,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
18,"So Far Away","Martin Garrix",91687,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
19,"Too Good At Goodbyes","Sam Smith",89989,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
20,Silence,Marshmello,87196,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
21,Patsergedrag,"Sevn Alias",85621,https://open.spotify.com/track/4tNpAeDH7S7cJGEo28Ogi4
22,"Let You Down",NF,84344,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
23,Merry,"Nafthaly Ramona",82613,https://open.spotify.com/track/3hHHaTr65mG7bpApRW5CZQ
24,"Op Me Monnie",Frenna,81300,https://open.spotify.com/track/5kvzEqShooIhg1D3KMBa7U
25,Anywhere,"Rita Ora",80676,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
26,"All Falls Down","Alan Walker",80282,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
27,"Dusk Till Dawn",ZAYN,77362,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
28,"Feel It Still","Portugal. The Man",74242,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
29,"Let Me Go","Hailee Steinfeld",73009,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
30,"Shape of You","Ed Sheeran",72090,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
